chr	start	end	bg_mean	bm_mean	log2_fold_change	gene	fold_change
chr1	44549511	44552011	466.0	232.0	-1.0030925950553815	Ankib1	0.4989293361884369
chr17	22422222	22424722	180.0	86.0	-1.056902391234477	Arhgap20	0.4806629834254144
chr9	14381007	14383507	709.0	325.0	-1.1229470601609668	Arhgap6	0.4591549295774648
chr7	105648827	105651327	577.0	252.0	-1.1919321078063687	Arhgef18	0.4377162629757785
chrX	151342175	151344675	806.0	343.0	-1.2301601085756824	Astn1	0.426270136307311
chr6	56651987	56654487	131.0	54.0	-1.263034405833794	Auts2	0.4166666666666666
chr2	146219921	146222421	777.0	313.0	-1.309005596094565	Bag3	0.403598971722365
chr13	102691558	102694058	389.0	151.0	-1.3594028003060252	Bahcc1	0.3897435897435897
chr15	79106898	79109398	929.0	360.0	-1.3652318791082227	Cacna1b	0.3881720430107526
chr5	132542844	132545344	993.0	351.0	-1.4976704229249889	Carmil3	0.3541247484909457
chr2	71979240	71981740	710.0	248.0	-1.5137038175513342	Cast	0.350210970464135
chr16	5145109	5147609	979.0	342.0	-1.5145731728297585	Ccdc122	0.3499999999999999
chr9	4795734	4798234	844.0	290.0	-1.5379321882612629	Ccdc157	0.344378698224852
chr10	14545159	14547659	580.0	196.0	-1.5603425339481527	Cd180	0.3390705679862306
chr7	78737512	78740012	292.0	98.0	-1.5654002343426383	Cd93	0.3378839590443686
chr9	86880154	86882654	533.0	179.0	-1.5688428353578794	Cdh22	0.3370786516853932
chr16	35768856	35771356	705.0	236.0	-1.5747811243729213	Cdon	0.3356940509915014
chrX	133688487	133690987	751.0	247.0	-1.6003925412907622	Celsr3	0.3297872340425531
chr9	88546020	88548520	647.0	212.0	-1.6051403826587864	Cemip	0.3287037037037037
chr5	23432441	23434941	2334.0	764.0	-1.6098908970170105	Cep170b	0.3276231263383297
chr1	132314126	132316626	1080.0	350.0	-1.6228235874300896	Col18a1	0.3246993524514338
chr10	34207215	34209715	277.0	87.0	-1.6595094540862103	Col27a1	0.316546762589928
chr13	74808310	74810810	141.0	43.0	-1.690315500867385	Col28a1	0.3098591549295774
chr3	93553080	93555580	651.0	199.0	-1.7048719644563528	Col4a6	0.3067484662576687
chr15	64921796	64924296	371.0	113.0	-1.7062687969432897	Col5a1	0.3064516129032258
chr18	23413135	23415635	595.0	180.0	-1.7193226333789564	Cpm	0.3036912751677851
chr9	51076594	51079094	999.0	302.0	-1.7226103011891365	Cpxm1	0.3029999999999999
chr11	64433332	64435832	993.0	297.0	-1.7379335211001246	Creb3l1	0.2997987927565392
chr9	27297204	27299704	525.0	151.0	-1.790991475848717	Cryba1	0.2889733840304181
chrX	129747742	129750242	470.0	134.0	-1.8027676525619525	Ctsd	0.286624203821656
chr2	160366565	160369065	1106.0	313.0	-1.8178187578899248	Cul9	0.2836495031616984
chr3	100488824	100491324	1100.0	305.0	-1.8472109108717167	Cyp4f14	0.2779291553133516
chr1	75544266	75546766	633.0	175.0	-1.84890741150211	Cyp4f16	0.277602523659306
chr1	158360273	158362773	244.0	66.0	-1.870548748544798	Dcc	0.273469387755102
chr9	108824320	108826820	907.0	247.0	-1.87235217690404	Dctn1	0.2731277533039647
chr10	56375330	56377830	484.0	131.0	-1.8774468177160368	Dcxr	0.2721649484536081
chr9	75683556	75686056	574.0	155.0	-1.8820159269694887	Ddit4l	0.271304347826087
chr13	94055796	94058296	509.0	136.0	-1.8963213538983312	Dgki	0.2686274509803921
chr16	97462407	97464907	596.0	159.0	-1.8996590263774429	Diaph2	0.2680067001675041
chr11	97797000	97799500	883.0	232.0	-1.9237164147371515	Disp2	0.2635746606334841
chr7	141265981	141268481	542.0	142.0	-1.924937051025972	Dlgap3	0.2633517495395948
chr14	77034772	77037272	903.0	234.0	-1.943662015850188	Dmd	0.2599557522123893
chr3	154661859	154664359	1087.0	280.0	-1.9530365210294127	Dner	0.2582720588235295
chr19	4876668	4879168	755.0	192.0	-1.969785386952992	Dnhd1	0.2552910052910053
chr9	37255238	37257738	893.0	223.0	-1.9967760991257133	Dse	0.2505592841163311
chr7	142095343	142097843	1393.0	341.0	-2.027162330982525	Dtna	0.2453371592539455
chr6	85069013	85071513	586.0	142.0	-2.0373453563316626	Dusp14	0.2436115843270869
chr1	21961442	21963942	620.0	150.0	-2.0400447188954027	Dusp8	0.2431561996779387
chr2	113216596	113219096	469.0	113.0	-2.043626932400258	Dyrk3	0.2425531914893617
