chr	start	end	bg_mean	bm_mean	mean_intensity	log2_fold_change	coefficient_of_variation
chr15	99053174	99055674	1.3560660223344074	166.725947003379	84.0410065128567	6.153582111804323	0.9838642339186293
chr2	180497976	180500476	1.9775962825710107	122.2656944691446	62.12164537585781	5.371479375938672	0.968165745279188
chr7	19309551	19312051	3.3524965552156183	177.84101013693757	90.5967533460766	5.360690633423179	0.9629954007026146
chr12	30909668	30912168	2.749800545289215	77.80544193491019	40.277621240099705	4.393409494159672	0.9317288245773669
chr2	29252506	29255006	2.015264783191411	55.57531566779299	28.795290225492202	4.229816127207643	0.9300140832959094
chr2	29252505	29255005	2.015264783191411	55.57531566779299	28.795290225492202	4.229816127207643	0.9300140832959094
chr10	59951270	59953770	17.384013036314695	0.0	8.692006518157347	-4.200379821016004	1.0
chr11	69836514	69839014	14.314030235752078	255.64645207184776	134.9802411537999	4.0668564006332435	0.8939546254074158
chr15	99723618	99726118	15.067400248160082	0.0	7.533700124080041	-4.006064610552294	1.0
chr4	72199348	72201848	16.36696351956389	266.76151520540634	141.56423936248513	3.9465311830225906	0.8843849012061927
chr5	34658379	34660879	11.14987618363846	0.0	5.57493809181923	-3.602869706647558	1.0
chr11	101440298	101442798	10.754356927124258	0.0	5.377178463562129	-3.555123707172486	1.0
chr8	70510301	70512801	2.090601784432212	33.34518940067579	17.717895592554	3.474148356435067	0.8820062025136443
chr8	57509907	57512407	9.680804659442853	0.0	4.840402329721426	-3.416948434277828	1.0
chrX	106185100	106187600	9.567799157581652	0.0	4.783899578790826	-3.4016030482355406	1.0
chr4	119320046	119322546	0.7910385130284043	16.672594700337896	8.73181660668315	3.3026456074364305	0.9094073377098919
chr1	91413538	91416038	8.607252391761447	0.0	4.303626195880724	-3.26412388910945	1.0
chr15	75747422	75749922	8.381241388039046	0.0	4.190620694019523	-3.229778842342753	1.0
chr17	26508019	26510519	8.324738637108446	0.0	4.162369318554223	-3.221063288667407	1.0
chr10	75515551	75518051	7.872716629663643	0.0	3.9363583148318213	-3.149375893487534	1.0
chr3	8923418	8925918	7.835048129043242	0.0	3.917524064521621	-3.1432379938988935	1.0
chr7	127260209	127262709	7.722042627182042	0.0	3.861021313591021	-3.124666041310812	1.0
chr13	51844678	51847178	7.45836312283924	0.0	3.72918156141962	-3.0803784975000905	1.0
chr9	35569898	35572398	7.175849368186239	0.0	3.5879246840931196	-3.0313686163131304	1.0
chr10	127288774	127291274	6.836832862602638	0.0	3.418416431301319	-2.9702707287560624	1.0
chr8	57487360	57489860	6.648490359500636	0.0	3.324245179750318	-2.9351750202514135	1.0
chr13	34129854	34132354	5.895120347092632	0.0	2.947560173546316	-2.785575732687552	1.0
chr5	110839277	110841777	5.876286096782432	0.0	2.938143048391216	-2.7816295712590517	1.0
chr7	45713457	45715957	5.49960109057843	0.0	2.749800545289215	-2.700351176248086	1.0
chr8	27258329	27260829	5.348927088096829	0.0	2.6744635440484146	-2.6665128099219717	1.0
chr11	31369574	31372074	1.7892537794690098	11.115063133558598	6.4521584565138035	2.11885081427427	0.7226891138014967
chr1	104766529	104769029	2.7686347955994157	11.115063133558598	6.941848964579007	1.6846880222560945	0.6011675261552853
chr4	111413006	111415506	3.013480049632016	11.115063133558598	7.064271591595308	1.5938762915981277	0.5734195648398775
chr4	135961727	135964227	3.823352812970621	11.115063133558598	7.469207973264609	1.3286936752848735	0.4881180405397754
chr11	32203415	32205915	4.708562577550025	5.557531566779299	5.133047072164662	0.20002532829214253	0.08269639624318254
chr1	39365842	39368342	4.708562577550025	0.0	2.3542812887750126		1.0
chr1	87156021	87158521	2.523789541566814	0.0	1.261894770783407		1.0
chr1	134403559	134406059	0.8475412639590046	0.0	0.4237706319795023		1.0
chr10	29535367	29537867	0.188342503102001	0.0	0.0941712515510005		1.0
chr10	31445421	31447921	0.4896905080652026	0.0	0.2448452540326013		1.0
chr10	75559830	75562330	4.576722825378625	0.0	2.2883614126893126		1.0
chr10	78778496	78780996	0.922878265199805	0.0	0.4614391325999025		1.0
chr10	80290453	80292953	3.63501030986862	0.0	1.81750515493431		1.0
chr10	80854709	80857209	4.049363816693022	0.0	2.024681908346511		1.0
chr10	81266434	81268934	4.030529566382822	0.0	2.015264783191411		1.0
chr10	110918177	110920677	3.4089993061462187	0.0	1.7044996530731094		1.0
chr10	128192457	128194957	1.5255742751262082	0.0	0.7627871375631041		1.0
chr10	128673418	128675918	3.446667806766619	0.0	1.7233339033833095		1.0
chr10	128891218	128893718	3.4089993061462187	0.0	1.7044996530731094		1.0
chr11	51617735	51620235	2.6744635440484146	0.0	1.3372317720242073		1.0
chr11	78174711	78177211	2.2977785378444127	0.0	1.1488892689222063		1.0
chr11	94473698	94476198	1.6950825279180093	0.0	0.8475412639590046		1.0
chr11	98329148	98331648	4.4825515738276245	0.0	2.2412757869138122		1.0
chr11	115187359	115189859	3.2583253036646176	0.0	1.6291626518323088		1.0
chr11	116012219	116014719	2.4484525403260133	0.0	1.2242262701630067		1.0
chr12	4841095	4843595	3.333662304905418	0.0	1.666831152452709		1.0
chr12	11150342	11152842	1.469071524195608	0.0	0.734535762097804		1.0
chr12	81594508	81597008	3.823352812970621	0.0	1.9116764064853105		1.0
chr13	54787377	54789877	3.126485551493217	0.0	1.5632427757466085		1.0
chr13	55725368	55727868	1.1488892689222063	0.0	0.5744446344611032		1.0
chr13	73328042	73330542	2.938143048391216	0.0	1.469071524195608		1.0
chr14	24488681	24491181	2.222441536603612	0.0	1.111220768301806		1.0
chr14	122983535	122986035	0.5273590086856029	0.0	0.26367950434280146		1.0
chr15	66969140	66971640	3.107651301183017	0.0	1.5538256505915085		1.0
chr15	79345541	79348041	3.842187063280821	0.0	1.9210935316404105		1.0
chr15	83724521	83727021	3.8045185626604208	0.0	1.9022592813302104		1.0
chr15	85581321	85583821	3.3713308055258184	0.0	1.6856654027629092		1.0
chr15	103537492	103539992	2.2977785378444127	0.0	1.1488892689222063		1.0
chr16	23890344	23892844	2.580292292497414	0.0	1.290146146248707		1.0
chr16	33054453	33056953	2.2977785378444127	0.0	1.1488892689222063		1.0
chr16	36071015	36073515	4.896905080652027	0.0	2.4484525403260133		1.0
chr17	23676949	23679449	1.2430605204732068	0.0	0.6215302602366034		1.0
chr17	24533710	24536210	2.335447038464813	0.0	1.1677235192324065		1.0
chr17	24893116	24895616	1.657414027297609	0.0	0.8287070136488045		1.0
chr17	25715171	25717671	1.2807290210936069	0.0	0.6403645105468034		1.0
chr17	33522204	33524704	2.787469045909615	0.0	1.3937345229548075		1.0
chr17	45684322	45686822	4.727396827860225	0.0	2.3636984139301127		1.0
chr17	46031877	46034377	3.898689814211421	0.0	1.9493449071057105		1.0
chr18	9210856	9213356	4.4825515738276245	0.0	2.2412757869138122		1.0
chr18	31787159	31789659	2.4484525403260133	0.0	1.2242262701630067		1.0
chr18	33792892	33795392	3.2771595539748177	0.0	1.6385797769874089		1.0
chr18	35962830	35965330	3.333662304905418	0.0	1.666831152452709		1.0
chr18	37969274	37971774	1.092386517991606	0.0	0.546193258995803		1.0
chr18	60772510	60775010	0.753370012408004	0.0	0.376685006204002		1.0
chr18	61013699	61016199	0.6591987608570036	0.0	0.3295993804285018		1.0
chr18	67341564	67344064	1.7139167782282094	0.0	0.8569583891141047		1.0
chr2	25271938	25274438	3.314828054595218	0.0	1.657414027297609		1.0
chr2	39005124	39007624	2.090601784432212	0.0	1.045300892216106		1.0
chr2	119349229	119351729	3.9928610657624217	0.0	1.9964305328812109		1.0
chr2	148393344	148395844	0.8287070136488045	0.0	0.41435350682440225		1.0
chr2	148407688	148410188	2.241275786913812	0.0	1.120637893456906		1.0
chr2	152413587	152416087	2.467286790636213	0.0	1.2336433953181065		1.0
chr2	155234533	155237033	1.9399277819506109	0.0	0.9699638909753054		1.0
chr3	18052174	18054674	1.2053920198528063	0.0	0.6026960099264032		1.0
chr3	89394276	89396776	2.222441536603612	0.0	1.111220768301806		1.0
chr3	94785992	94788492	4.256540570105223	0.0	2.1282702850526114		1.0
chr3	102467919	102470419	1.4314030235752078	0.0	0.7157015117876039		1.0
chr3	145648312	145650812	1.84575653039961	0.0	0.922878265199805		1.0
chr4	117017402	117019902	4.124700817933823	0.0	2.0623504089669114		1.0
chr4	119193306	119195806	3.0888170508728168	0.0	1.5444085254364084		1.0
chr4	122993652	122996152	1.3937345229548077	0.0	0.6968672614774039		1.0
chr4	155774198	155776698	2.2601100372240124	0.0	1.1300550186120062		1.0
chr5	28466756	28469256	1.5444085254364084	0.0	0.7722042627182042		1.0
chr5	30907288	30909788	3.503170557697219	0.0	1.7515852788486095		1.0
chr5	121545405	121547905	1.3560660223344074	0.0	0.6780330111672037		1.0
chr5	122987354	122989854	1.9964305328812109	0.0	0.9982152664406054		1.0
chr5	135743948	135746448	3.72918156141962	0.0	1.86459078070981		1.0
chr5	140319656	140322156	1.0170495167508056	0.0	0.5085247583754028		1.0
chr6	41603482	41605982	1.1300550186120062	0.0	0.5650275093060031		1.0
chr6	72958248	72960748	1.9399277819506109	0.0	0.9699638909753054		1.0
chr6	82773954	82776454	3.766850062040021	0.0	1.8834250310200105		1.0
chr6	85185438	85187938	1.6950825279180093	0.0	0.8475412639590046		1.0
chr6	87728869	87731369	2.2977785378444127	0.0	1.1488892689222063		1.0
chr6	89641988	89644488	1.092386517991606	0.0	0.546193258995803		1.0
