"seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","V10","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENTREZID","SYMBOL","GENENAME"
"chr1",4857514,4857897,384,"*","BG2_peak_1",91,".",7.07566,13.0449,9.11744,162,"Promoter (<=1kb)",1,4857814,4897905,40092,1,"ENSMUSG00000033813.15","ENSMUST00000081551.13",0,"21399","Tcea1","transcription elongation factor A (SII) 1"
"chr1",5022947,5023378,432,"*","BG2_peak_2",70,".",5.05342,10.8783,7.0992,158,"Intron (ENSMUST00000118000.7/ENSMUSG00000002459.17, intron 1 of 5)",1,4909576,5019539,109964,2,"ENSMUSG00000002459.17","ENSMUST00000002533.14",-3408,"58175","Rgs20","regulator of G-protein signaling 20"
"chr1",7088597,7089120,524,"*","BG2_peak_3",409,".",13.1564,46.1191,40.9959,279,"Promoter (<=1kb)",1,7088920,7173628,84709,1,"ENSMUSG00000051285.17","ENSMUST00000061280.16",0,"319263","Pcmtd1","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1"
"chr1",7397718,7398297,580,"*","BG2_peak_4",67,".",6.01472,10.4749,6.72856,291,"Promoter (<=1kb)",1,7349406,7397801,48396,2,"ENSMUSG00000097797.6","ENSMUST00000181554.1",0,NA,NA,NA
"chr1",7566601,7567198,598,"*","BG2_peak_5",31,".",4.58108,6.54489,3.15402,439,"Distal Intergenic",1,7591646,7591931,286,1,"ENSMUSG00000102320.1","ENSMUST00000195081.1",-24448,NA,NA,NA
"chr1",9630008,9630365,358,"*","BG2_peak_6",16,".",3.65716,4.64509,1.67549,121,"Promoter (<=1kb)",1,9560832,9631092,70261,2,"ENSMUSG00000079671.8","ENSMUST00000115480.7",727,NA,NA,NA
"chr1",9700300,9700636,337,"*","BG2_peak_7",31,".",4.58108,6.54489,3.15402,127,"Promoter (<=1kb)",1,9667415,9700209,32795,2,"ENSMUSG00000025912.16","ENSMUST00000088658.10",-91,"17864","Mybl1","myeloblastosis oncogene-like 1"
"chr1",9748337,9748792,456,"*","BG2_peak_8",113,".",7.70205,15.4421,11.3647,157,"Promoter (<=1kb)",1,9718622,9748382,29761,2,"ENSMUSG00000045210.8","ENSMUST00000057438.6",0,"70675","Vcpip1","valosin containing protein (p97)/p47 complex interacting protein 1"
"chr1",10008739,10009106,368,"*","BG2_peak_9",39,".",4.99754,7.48185,3.98901,270,"Promoter (<=1kb)",1,9968624,10009136,40513,2,"ENSMUSG00000025916.10","ENSMUST00000027049.9",30,"69312","Ppp1r42","protein phosphatase 1, regulatory subunit 42"
"chr1",12422455,12422839,385,"*","BG2_peak_10",31,".",4.58108,6.54489,3.15402,176,"Distal Intergenic",1,12425986,12426106,121,1,"ENSMUSG00000098555.1","ENSMUST00000183490.1",-3147,"102465961","Mir6341","microRNA 6341"
"chr1",13372459,13372841,383,"*","BG2_peak_11",56,".",5.76672,9.35231,5.69643,227,"Promoter (<=1kb)",1,13139105,13372439,233335,2,"ENSMUSG00000005886.14","ENSMUST00000081713.10",-20,"17978","Ncoa2","nuclear receptor coactivator 2"
"chr1",16656622,16657026,405,"*","BG2_peak_12",43,".",5.07707,7.90858,4.38099,365,"Promoter (<=1kb)",1,16641725,16656884,15160,2,"ENSMUSG00000079658.9","ENSMUST00000188641.6",0,"67923","Eloc","elongin C"
"chr1",20117276,20117656,381,"*","BG2_peak_13",14,".",3.4699,4.3561,1.43303,368,"Exon (ENSMUST00000088448.11/ENSMUSG00000043760.16, exon 61 of 67)",1,20062070,20065548,3479,2,"ENSMUSG00000104095.1","ENSMUST00000194347.1",-51728,NA,NA,NA
