"seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","V10","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENTREZID","SYMBOL","GENENAME"
"chr1",4811611,4811911,301,"*","BG3_peak_1",28,".",4.08633,6.2656,2.80274,235,"Intron (ENSMUST00000027036.10/ENSMUSG00000025903.14, intron 2 of 8)",1,4807911,4845352,37442,1,"ENSMUSG00000025903.14","ENSMUST00000115529.7",3700,"18777","Lypla1","lysophospholipase 1"
"chr1",4970598,4971139,542,"*","BG3_peak_2",23,".",3.97305,5.5769,2.36061,95,"Promoter (<=1kb)",1,4970857,4976820,5964,1,"ENSMUSG00000085623.1","ENSMUST00000144339.1",0,"102631647","Gm16041","predicted gene 16041"
"chr1",6213721,6214612,892,"*","BG3_peak_3",37,".",4.90428,7.62737,3.75612,687,"Promoter (<=1kb)",1,6213293,6214590,1298,2,"ENSMUSG00000090031.2","ENSMUST00000159618.1",0,NA,NA,NA
"chr1",7088256,7088770,515,"*","BG3_peak_4",14,".",3.06063,4.07057,1.43939,121,"Promoter (<=1kb)",1,7088920,7173628,84709,1,"ENSMUSG00000051285.17","ENSMUST00000061280.16",-150,"319263","Pcmtd1","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1"
"chr1",7139371,7139713,343,"*","BG3_peak_5",49,".",5.32539,9.30508,4.98249,160,"Promoter (2-3kb)",1,7136199,7136586,388,2,"ENSMUSG00000098201.1","ENSMUST00000182051.1",-2785,NA,NA,NA
"chr1",9564621,9564941,321,"*","BG3_peak_6",28,".",3.37599,6.34003,2.85505,237,"Intron (ENSMUST00000144177.7/ENSMUSG00000025911.14, intron 12 of 13)",1,9574548,9575649,1102,1,"ENSMUSG00000081441.3","ENSMUST00000121942.1",-9607,"620542","Gm6161","heterogeneous nuclear ribonucleoprotein A3 pseudogene"
"chr1",9629422,9630123,702,"*","BG3_peak_7",19,".",2.80335,4.97615,1.99677,146,"Promoter (<=1kb)",1,9560832,9631092,70261,2,"ENSMUSG00000079671.8","ENSMUST00000115480.7",969,NA,NA,NA
"chr1",9696029,9696326,298,"*","BG3_peak_8",18,".",3.33887,4.74435,1.83366,154,"Intron (ENSMUST00000088658.10/ENSMUSG00000025912.16, intron 1 of 15)",1,9669537,9700024,30488,2,"ENSMUSG00000025912.16","ENSMUST00000115468.8",3698,"17864","Mybl1","myeloblastosis oncogene-like 1"
"chr1",9699600,9699929,330,"*","BG3_peak_9",22,".",3.46862,5.40982,2.24158,129,"Promoter (<=1kb)",1,9669537,9700024,30488,2,"ENSMUSG00000025912.16","ENSMUST00000115468.8",95,"17864","Mybl1","myeloblastosis oncogene-like 1"
"chr1",9747120,9747790,671,"*","BG3_peak_10a",16,".",3.22003,4.53671,1.68774,138,"Promoter (<=1kb)",1,9747956,9791318,43363,1,"ENSMUSG00000097893.8","ENSMUST00000181358.7",-166,NA,NA,NA
"chr1",9747120,9747790,671,"*","BG3_peak_10b",36,".",4.27646,7.42809,3.61218,332,"Promoter (<=1kb)",1,9747956,9791318,43363,1,"ENSMUSG00000097893.8","ENSMUST00000181358.7",-166,NA,NA,NA
"chr1",9747120,9747790,671,"*","BG3_peak_10c",30,".",3.97784,6.59907,3.04442,533,"Promoter (<=1kb)",1,9747956,9791318,43363,1,"ENSMUSG00000097893.8","ENSMUST00000181358.7",-166,NA,NA,NA
"chr1",10037193,10037503,311,"*","BG3_peak_11",30,".",4.00918,6.65688,3.08519,212,"Promoter (<=1kb)",1,10024601,10038127,13527,2,"ENSMUSG00000025917.9","ENSMUST00000027050.9",624,"26754","Cops5","COP9 signalosome subunit 5"
"chr1",10166586,10166943,358,"*","BG3_peak_12",15,".",3.45763,4.33713,1.54797,97,"Promoter (<=1kb)",1,10166539,10166778,240,1,"ENSMUSG00000088153.1","ENSMUST00000157528.1",47,NA,NA,NA
"chr1",13860779,13861278,500,"*","BG3_peak_13",14,".",3.28566,4.07064,1.43939,274,"Distal Intergenic",1,13846871,13849119,2249,2,"ENSMUSG00000102166.1","ENSMUST00000194709.1",-11660,NA,NA,NA
"chr1",14002392,14002703,312,"*","BG3_peak_14",19,".",3.4231,4.89024,1.93734,271,"Distal Intergenic",1,13932378,13932685,308,1,"ENSMUSG00000089358.1","ENSMUST00000158733.1",70014,NA,NA,NA
