"seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","V10","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENTREZID","SYMBOL","GENENAME"
"chr1",5022947,5023378,432,"*","peak_1",54.5,".",4.815825,9.27939,5.5318,193,"Intron (ENSMUST00000118000.7/ENSMUSG00000002459.17, intron 1 of 5)",1,4909576,5019539,109964,2,"ENSMUSG00000002459.17","ENSMUST00000002533.14",-3408,"58175","Rgs20","regulator of G-protein signaling 20"
"chr1",7088256,7089120,865,"*","peak_2",189.666666666667,".",8.42911333333333,23.1578233333333,19.0230966666667,230.333333333333,"Promoter (<=1kb)",1,7088920,7173628,84709,1,"ENSMUSG00000051285.17","ENSMUST00000061280.16",0,"319263","Pcmtd1","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1"
"chr1",7397665,7398390,726,"*","peak_3",77.5,".",6.306355,11.772,7.7768,252.5,"Promoter (<=1kb)",1,7349406,7397801,48396,2,"ENSMUSG00000097797.6","ENSMUST00000181554.1",0,NA,NA,NA
"chr1",13372439,13372998,560,"*","peak_4",41.5,".",5.06294,7.77289,4.23308,187.5,"Promoter (<=1kb)",1,13139105,13372439,233335,2,"ENSMUSG00000005886.14","ENSMUST00000081713.10",0,"17978","Ncoa2","nuclear receptor coactivator 2"
"chr1",15255669,15256442,774,"*","peak_5",32.5,".",4.813605,7.048095,3.30062,215.5,"Distal Intergenic",1,15268802,15269797,996,2,"ENSMUSG00000073737.3","ENSMUST00000086739.5",13355,"100039959","Gm10566","glyceraldehyde-3-phosphate dehydrogenase pseudogene"
"chr1",16656622,16657223,602,"*","peak_6",46,".",5.34838,8.346015,4.6554,339.5,"Promoter (<=1kb)",1,16641725,16656884,15160,2,"ENSMUSG00000079658.9","ENSMUST00000188641.6",0,"67923","Eloc","elongin C"
"chr1",20905538,20906363,826,"*","peak_7",19.5,".",3.760415,5.12662,1.977795,204,"Intron (ENSMUST00000189400.6/ENSMUSG00000025931.15, intron 1 of 2)",1,20915410,20915540,131,2,"ENSMUSG00000077314.1","ENSMUST00000104126.1",9177,"115485789","Gm24171","predicted gene, 24171"
"chr1",26686905,26687997,1093,"*","peak_8",68.75,".",5.565195,11.0838375,6.9233,475.25,"Promoter (<=1kb)",1,26681814,26687460,5647,2,"ENSMUSG00000073722.3","ENSMUST00000097801.3",0,"210940","4931408C20Rik","RIKEN cDNA 4931408C20 gene"
"chr1",34439370,34439923,554,"*","peak_9",144.5,".",7.885045,18.87295,14.46669,206,"Promoter (<=1kb)",1,34439851,34449356,9506,1,"ENSMUSG00000026127.13","ENSMUST00000027303.13",0,"27993","Imp4","IMP4, U3 small nucleolar ribonucleoprotein"
"chr1",34583779,34584198,420,"*","peak_10",77,".",5.67961,11.61624,7.771595,201.5,"Intron (ENSMUST00000052670.10/ENSMUSG00000045174.10, intron 1 of 1)",1,34579202,34579711,510,2,"ENSMUSG00000045815.4","ENSMUST00000186712.1",-4068,NA,NA,NA
"chr1",38308049,38308844,796,"*","peak_11",25,".",4.04584,5.8727,2.5102,359,"Promoter (<=1kb)",1,38307902,38311930,4029,1,"ENSMUSG00000085280.1","ENSMUST00000129696.1",147,NA,NA,NA
"chr1",39499466,39500068,603,"*","peak_12",83,".",6.25022,12.7378733333333,8.34008666666667,232.333333333333,"Distal Intergenic",1,39519533,39519747,215,1,"ENSMUSG00000065629.2","ENSMUST00000083695.2",-19465,"115487696","Gm24826","predicted gene, 24826"
"chr1",39947685,39948429,745,"*","peak_13",57.3333333333333,".",4.70914666666667,9.53695666666667,5.77695666666667,275.333333333333,"Intron (ENSMUST00000163854.8/ENSMUSG00000026074.14, intron 2 of 30)",1,39901230,40024925,123696,1,"ENSMUSG00000026074.14","ENSMUST00000192509.5",46455,"26921","Map4k4","mitogen-activated protein kinase kinase kinase kinase 4"
"chr1",45795121,45795533,413,"*","peak_14",82.5,".",7.24516,12.339455,8.299685,171.5,"Promoter (<=1kb)",1,45795166,45823619,28454,1,"ENSMUSG00000025995.16","ENSMUST00000027139.14",0,"73674","Wdr75","WD repeat domain 75"
"chr1",46853470,46853994,525,"*","peak_15",94,".",6.21599,13.1438866666667,9.42219,192.333333333333,"Promoter (<=1kb)",1,46807544,46854046,46503,2,"ENSMUSG00000025986.6","ENSMUST00000027131.5",52,"227059","Slc39a10","solute carrier family 39 (zinc transporter), member 10"
"chr1",50927138,50927755,618,"*","peak_16",57,".",5.47624333333333,9.55979333333333,5.74292333333333,179,"Promoter (<=1kb)",1,50927519,51187270,259752,1,"ENSMUSG00000026109.14","ENSMUST00000081851.3",0,"56363","Tmeff2","transmembrane protein with EGF-like and two follistatin-like domains 2"
"chr1",52844620,52845126,507,"*","peak_17",126.5,".",7.71224,17.122435,12.69818,229,"Promoter (<=1kb)",1,52845013,52920981,75969,1,"ENSMUSG00000041426.12","ENSMUST00000159352.7",0,"227095","Hibch","3-hydroxyisobutyryl-Coenzyme A hydrolase"
"chr1",60180300,60180854,555,"*","peak_18",95.6666666666667,".",7.01668333333333,13.5472,9.63071,241.333333333333,"Promoter (<=1kb)",1,60180599,60338328,157730,1,"ENSMUSG00000073664.11","ENSMUST00000160834.7",0,"269198","Nbeal1","neurobeachin like 1"
"chr1",63763105,63764014,910,"*","peak_19",21,".",3.73306,5.349905,2.13992,266,"Intron (ENSMUST00000027102.1/ENSMUSG00000025961.1, intron 2 of 2)",1,63754907,63769267,14361,2,"ENSMUSG00000025961.1","ENSMUST00000027102.1",5253,"74426","4933402D24Rik","RIKEN cDNA 4933402D24 gene"
"chr1",64304440,64305907,1468,"*","peak_20",64.3333333333333,".",5.57195666666667,10.3513866666667,6.49381666666667,337.333333333333,"Promoter (1-2kb)",1,64185991,64303043,117053,2,"ENSMUSG00000101895.1","ENSMUST00000190863.1",-1397,NA,NA,NA
"chr1",64532676,64533098,423,"*","peak_21",55,".",5.73693,9.314755,5.537605,159,"Promoter (<=1kb)",1,64532797,64597571,64775,1,"ENSMUSG00000025958.14","ENSMUST00000171164.7",0,"12912","Creb1","cAMP responsive element binding protein 1"
"chr1",64690595,64691002,408,"*","peak_22",145,".",8.155545,18.9931,14.55595,175.5,"Promoter (<=1kb)",1,64690822,64723946,33125,1,"ENSMUSG00000070871.10","ENSMUST00000187170.6",0,"227210","Ccnyl1","cyclin Y-like 1"
"chr1",65186438,65186838,401,"*","peak_23",73,".",6.27784,11.3012,7.351675,168,"Promoter (<=1kb)",1,65186702,65278695,91994,1,"ENSMUSG00000025949.15","ENSMUST00000081154.13",0,"18711","Pikfyve","phosphoinositide kinase, FYVE type zinc finger containing"
"chr1",72583029,72583521,493,"*","peak_24",52,".",5.18109333333333,9.02671666666667,5.23360666666667,214,"Promoter (<=1kb)",1,72583251,72633134,49884,1,"ENSMUSG00000039354.16","ENSMUST00000047615.14",0,"54380","Smarcal1","SWI/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1"
"chr1",73944212,73944751,540,"*","peak_25",64.5,".",5.47213,10.195505,6.521265,197.5,"Intron (ENSMUST00000169786.7/ENSMUSG00000055322.14, intron 19 of 34)",1,73913911,73928513,14603,2,"ENSMUSG00000055322.14","ENSMUST00000187691.6",-15699,"21961","Tns1","tensin 1"
"chr1",74295620,74296348,729,"*","peak_26",47.25,".",4.3945075,8.26432,4.76247,252.75,"Promoter (<=1kb)",1,74295641,74298867,3227,1,"ENSMUSG00000099931.1","ENSMUST00000187941.1",0,NA,NA,NA
"chr1",75317461,75318015,555,"*","peak_27",288.5,".",10.86015,33.91085,28.91215,239,"Promoter (<=1kb)",1,75307896,75317637,9742,2,"ENSMUSG00000026209.15","ENSMUST00000066668.13",0,"13437","Dnpep","aspartyl aminopeptidase"
"chr1",77496613,77497524,912,"*","peak_28",36.6666666666667,".",4.82657,7.40049,3.72748333333333,197,"Promoter (<=1kb)",1,77496653,77496768,116,2,"ENSMUSG00000099141.1","ENSMUST00000184495.1",0,"102465180","Mir6352","microRNA 6352"
"chr1",80340662,80341358,697,"*","peak_29",67,".",5.83799,10.5396666666667,6.72510666666667,197.333333333333,"Promoter (<=1kb)",1,80264923,80340480,75558,2,"ENSMUSG00000004364.14","ENSMUST00000163119.7",-182,"26554","Cul3","cullin 3"
"chr1",86031987,86032991,1005,"*","peak_30",83.3333333333333,".",6.05060333333333,12.20758,8.36932,236,"Distal Intergenic",1,86021961,86024669,2709,1,"ENSMUSG00000026226.15","ENSMUST00000135440.1",10026,"70060","Spata3","spermatogenesis associated 3"
"chr1",86434451,86434942,492,"*","peak_31",81.5,".",5.934775,12.2462,8.225185,196,"Distal Intergenic",1,86426329,86428052,1724,1,"ENSMUSG00000036574.5","ENSMUST00000046004.5",8122,"71863","Tex44","testis expressed 44"
"chr1",86487380,86487757,378,"*","peak_32",50.5,".",5.460435,8.77165,5.09788,162.5,"Distal Intergenic",1,86473659,86474006,348,1,"ENSMUSG00000101328.1","ENSMUST00000163337.3",13721,NA,NA,NA
"chr1",86582473,86582902,430,"*","peak_33",140,".",8.758895,18.4994,14.07735,218,"Promoter (<=1kb)",1,86542994,86582547,39554,2,"ENSMUSG00000026239.14","ENSMUST00000027444.14",0,"18582","Pde6d","phosphodiesterase 6D, cGMP-specific, rod, delta"
"chr1",89400584,89401214,631,"*","peak_34",95.6666666666667,".",6.67055666666667,13.7580666666667,9.62308,299.333333333333,"Intron (ENSMUST00000186258.1/ENSMUSG00000099938.1, intron 1 of 2)",1,89360342,89406133,45792,2,"ENSMUSG00000099938.1","ENSMUST00000186258.1",4919,"77331","C030007H22Rik","RIKEN cDNA C030007H22 gene"
"chr1",90505134,90505556,423,"*","peak_35",17.5,".",3.403245,4.713785,1.766495,256,"Distal Intergenic",1,90520496,90523297,2802,1,"ENSMUSG00000103292.1","ENSMUST00000192105.1",-14940,NA,NA,NA
"chr1",90975004,90975497,494,"*","peak_36",32,".",3.76537,6.9055,3.25343,212,"Promoter (<=1kb)",1,90974459,90975260,802,2,"ENSMUSG00000100791.1","ENSMUST00000187127.1",0,NA,NA,NA
"chr1",91209274,91210021,748,"*","peak_37",63.75,".",4.5381275,10.554495,6.4418625,299.5,"Intron (ENSMUST00000097648.5/ENSMUSG00000034353.14, intron 2 of 2)",1,91180046,91225196,45151,1,"ENSMUSG00000034353.14","ENSMUST00000097648.5",29228,"51801","Ramp1","receptor (calcitonin) activity modifying protein 1"
"chr1",91413422,91414590,1169,"*","peak_38",62.6666666666667,".",4.77575333333333,10.3421533333333,6.30807666666667,268,"Promoter (<=1kb)",1,91411483,91413222,1740,2,"ENSMUSG00000067071.8","ENSMUST00000086851.1",-200,"55927","Hes6","hairy and enhancer of split 6"
"chr1",91540114,91540890,777,"*","peak_39",124,".",7.58926,16.7685,12.4443,314,"Promoter (<=1kb)",1,91540544,91556088,15545,1,"ENSMUSG00000026311.16","ENSMUST00000086843.10",0,"65247","Asb1","ankyrin repeat and SOCS box-containing 1"
"chr1",92180277,92180861,585,"*","peak_40",165.5,".",8.555715,21.1632,16.60855,183.5,"Promoter (<=1kb)",1,91928779,92180341,251563,2,"ENSMUSG00000026313.15","ENSMUST00000097644.8",0,"208727","Hdac4","histone deacetylase 4"
"chr1",93478254,93478994,741,"*","peak_41",109,".",7.032665,15.128635,10.97773,399.5,"Promoter (<=1kb)",1,93478964,93510260,31297,1,"ENSMUSG00000026276.17","ENSMUST00000027495.14",0,"18000","Septin2","septin 2"
"chr1",93511699,93512124,426,"*","peak_42",50,".",5.590435,8.766745,5.037655,318,"Promoter (<=1kb)",1,93512079,93621976,109898,1,"ENSMUSG00000034066.13","ENSMUST00000120301.7",0,"227377","Farp2","FERM, RhoGEF and pleckstrin domain protein 2"
"chr1",97553517,97554258,742,"*","peak_43",80.3333333333333,".",6.12784666666667,12.1621633333333,8.10746333333333,280.666666666667,"Intron (ENSMUST00000187538.1/ENSMUSG00000101348.6, intron 4 of 4)",1,97544264,97545448,1185,2,"ENSMUSG00000103179.1","ENSMUST00000192636.1",-8069,NA,NA,NA
"chr1",106171325,106171781,457,"*","peak_44",346,".",12.45145,39.833,34.67965,236.5,"Promoter (<=1kb)",1,106171752,106394250,222499,1,"ENSMUSG00000044340.7","ENSMUST00000061047.6",0,"98432","Phlpp1","PH domain and leucine rich repeat protein phosphatase 1"
