"seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","V10","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENTREZID","SYMBOL","GENENAME"
"chr1",4281717,4282332,616,"*","BG1_peak_1",34,".",5.04899,7.03053,3.42305,183,"Intron (ENSMUST00000208660.1/ENSMUSG00000025900.11, intron 6 of 29)",1,4256234,4260519,4286,2,"ENSMUSG00000102948.1","ENSMUST00000195384.1",-21198,"619785","Gm6101","actinin alpha 4 pseudogene"
"chr1",5022982,5023334,353,"*","BG1_peak_2",39,".",4.57823,7.68048,3.9644,228,"Intron (ENSMUST00000118000.7/ENSMUSG00000002459.17, intron 1 of 5)",1,4909576,5019539,109964,2,"ENSMUSG00000002459.17","ENSMUST00000002533.14",-3443,"58175","Rgs20","regulator of G-protein signaling 20"
"chr1",5229171,5229643,473,"*","BG1_peak_3",38,".",5.23021,7.56965,3.86301,169,"Distal Intergenic",1,5276106,5277337,1232,2,"ENSMUSG00000104352.1","ENSMUST00000193351.1",47694,NA,NA,NA
"chr1",6442146,6442613,468,"*","BG1_peak_4",37,".",5.31085,7.44785,3.75466,166,"Promoter (<=1kb)",1,6429655,6441296,11642,2,"ENSMUSG00000103845.1","ENSMUST00000194240.1",-850,"100418138","Gm19026","calmodulin regulated spectrin-associated protein 1 pseudogene"
"chr1",7088609,7089120,512,"*","BG1_peak_5",146,".",9.07031,19.2838,14.634,291,"Promoter (<=1kb)",1,7088920,7173628,84709,1,"ENSMUSG00000051285.17","ENSMUST00000061280.16",0,"319263","Pcmtd1","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1"
"chr1",7397665,7398390,726,"*","BG1_peak_6",88,".",6.59799,13.0691,8.82504,214,"Promoter (<=1kb)",1,7349406,7397801,48396,2,"ENSMUSG00000097797.6","ENSMUST00000181554.1",0,NA,NA,NA
"chr1",9432961,9433524,564,"*","BG1_peak_7",14,".",3.66387,4.33103,1.4196,174,"Distal Intergenic",1,9439741,9440376,636,2,"ENSMUSG00000104428.1","ENSMUST00000192026.1",6852,"100416881","Gm18299","phosphoglycerate mutase 1 pseudogene"
"chr1",12886511,12887060,550,"*","BG1_peak_8",20,".",4.24868,5.37719,2.07713,137,"Intron (ENSMUST00000188454.6/ENSMUSG00000025938.16, intron 6 of 9)",1,12879683,12990914,111232,2,"ENSMUSG00000025938.16","ENSMUST00000146763.7",103854,"240726","Slco5a1","solute carrier organic anion transporter family, member 5A1"
"chr1",13372439,13372998,560,"*","BG1_peak_9",27,".",4.35916,6.19347,2.76973,148,"Promoter (<=1kb)",1,13139105,13372439,233335,2,"ENSMUSG00000005886.14","ENSMUST00000081713.10",0,"17978","Ncoa2","nuclear receptor coactivator 2"
"chr1",15255669,15256029,361,"*","BG1_peak_10",20,".",4.24868,5.37719,2.07713,271,"Distal Intergenic",1,15268802,15269797,996,2,"ENSMUSG00000073737.3","ENSMUST00000086739.5",13768,"100039959","Gm10566","glyceraldehyde-3-phosphate dehydrogenase pseudogene"
"chr1",15401620,15402204,585,"*","BG1_peak_11",14,".",3.7176,4.4143,1.4196,75,"Intron (ENSMUST00000175681.2/ENSMUSG00000092083.4, intron 2 of 2)",1,15364302,15365834,1533,1,"ENSMUSG00000102937.1","ENSMUST00000193873.1",37318,NA,NA,NA
"chr1",15894181,15894719,539,"*","BG1_peak_12",14,".",3.7176,4.4143,1.4196,119,"Promoter (1-2kb)",1,15853862,15892722,38861,2,"ENSMUSG00000032719.4","ENSMUST00000040695.4",-1459,"226866","Sbspon","somatomedin B and thrombospondin, type 1 domain containing"
"chr1",15967461,15967865,405,"*","BG1_peak_13",14,".",3.66387,4.33103,1.4196,166,"Distal Intergenic",1,15853862,15892722,38861,2,"ENSMUSG00000032719.4","ENSMUST00000040695.4",-74739,"226866","Sbspon","somatomedin B and thrombospondin, type 1 domain containing"
"chr1",15996459,15997093,635,"*","BG1_peak_14",20,".",4.18727,5.28074,2.07713,499,"Distal Intergenic",1,16053335,16053887,553,1,"ENSMUSG00000100652.1","ENSMUST00000185778.1",-56242,"665434","Gm7634","predicted gene 7634"
"chr1",16048954,16049358,405,"*","BG1_peak_15",20,".",4.24868,5.37719,2.07713,126,"Distal Intergenic",1,16053335,16053887,553,1,"ENSMUSG00000100652.1","ENSMUST00000185778.1",-3977,"665434","Gm7634","predicted gene 7634"
"chr1",16485057,16485444,388,"*","BG1_peak_16",20,".",4.24868,5.37719,2.07713,115,"Intron (ENSMUST00000162751.7/ENSMUSG00000025920.19, intron 3 of 13)",1,16343407,16519211,175805,2,"ENSMUSG00000025920.19","ENSMUST00000159558.7",33767,"29819","Stau2","staufen double-stranded RNA binding protein 2"
"chr1",16656726,16657223,498,"*","BG1_peak_17",49,".",5.61969,8.78345,4.92981,314,"Promoter (<=1kb)",1,16641725,16656884,15160,2,"ENSMUSG00000079658.9","ENSMUST00000188641.6",0,"67923","Eloc","elongin C"
"chr1",19480939,19481294,356,"*","BG1_peak_18",14,".",3.7176,4.4143,1.4196,172,"Distal Intergenic",1,19513855,19513919,65,2,"ENSMUSG00000084668.1","ENSMUST00000122719.1",32625,NA,NA,NA
