chr	start	end	bg_mean	bm_mean	mean_intensity	log2_fold_change	coefficient_of_variation	gene	fold_change
chr4	127985857	127988357	4.947556504413764	0.0	2.473778252206882	-8.953485405632371	1.0	Csmd2	0.0020171227480910996
chr11	60114730	60117230	4.907332467792513	0.0	2.4536662338962567	-8.94173209088002	1.0	Rai1	0.0020336229176078457
chr7	65859734	65862234	4.867108431171263	0.0	2.433554215585632	-8.929882237476388	1.0	Pcsk6	0.0020503952579947965
chr14	70888130	70890630	4.746436321307513	0.0	2.373218160653757	-8.893737253410391	1.0	Gfra2	0.0021024143548822004
chr4	115826092	115828592	4.645876229754387	0.0	2.3229381148771937	-8.862908896411609	1.0	Mob3c	0.0021478234185206275
chr8	86884758	86887258	4.585540174822513	0.0	2.2927700874112564	-8.8440906403499	1.0	N4bp1	0.002176022756755949
chr2	130904495	130906995	4.565428156511888	0.0	2.282714078255944	-8.83776294308926	1.0	4930402H24Rik	0.0021855878090376525
chr1	155099136	155101636	4.484980083269387	0.0	2.2424900416346936	-8.81217091311575	1.0	Ier5	0.0022247039619198005
chr5	114091070	114093570	4.464868064958762	0.0	2.232434032479381	-8.80570133699281	1.0	Usp30	0.002234702756558737
chr6	85959623	85962123	4.444756046648137	0.0	2.2223780233240684	-8.79920261817117	1.0	Gm19265	0.0022447918349028876
chr2	85046022	85048522	4.404532010026887	0.0	2.202266005013444	-8.786116693877286	1.0	Tnks1bp1	0.002265245778552886
chr3	33142747	33145247	4.344195955095012	0.0	2.172097977547506	-8.766262525431841	1.0	Pex5l	0.0022966352693196117
chr15	82272935	82275435	4.344195955095012	0.0	2.172097977547506	-8.766262525431841	1.0	Sept3	0.0022966352693196117
chr11	74647495	74649995	4.263747881852511	0.0	2.131873940926256	-8.739357992407566	1.0	Cluh	0.0023398666174162266
chr15	74514195	74516695	4.163187790299387	0.0	2.0815938951496933	-8.705006032024217	1.0	Adgrb1	0.002396249702264798
chr3	122726947	122729447	4.143075771988761	0.0	2.0715378859943807	-8.69803638344333	1.0	Pde5a	0.002407853973541002
chr7	112677318	112679818	4.082739717056886	0.0	2.041369858528443	-8.676923109462763	1.0	Tead1	0.002443351078086895
chr9	108488602	108491102	4.062627698746261	0.0	2.0313138493731304	-8.66981612547079	1.0	Lamb2	0.0024554171752744435
chr2	181362928	181365428	4.0224036621250105	0.0	2.0112018310625053	-8.655496256240642	1.0	Zgpat	0.0024799104548799476
chr18	34838589	34841089	4.002291643814386	0.0	2.001145821907193	-8.648282665563448	1.0	Kdm3b	0.002492341257250496
chr2	127142942	127145442	3.8413954973293856	0.0	1.9206977486646928	-8.589237469943754	1.0	Itpripl1	0.002596461466222865
chr5	4757535	4760035	3.82128347901876	0.0	1.91064173950938	-8.581683965378355	1.0	Fzd1	0.00261009138445718
chr2	130293169	130295669	3.82128347901876	0.0	1.91064173950938	-8.581683965378355	1.0	Ebf4	0.00261009138445718
chr2	145165754	145168254	3.78105944239751	0.0	1.890529721198755	-8.56645726738056	1.0	Slc24a3	0.0026377850708866448
chr5	111415362	111417862	3.62016329591251	0.0	1.810081647956255	-8.503890636316521	1.0	Mn1	0.0027546970163187428
chr5	33993984	33996484	3.62016329591251	0.0	1.810081647956255	-8.503890636316521	1.0	Nat8l	0.0027546970163187428
chr11	80298912	80301412	3.57993925929126	0.0	1.78996962964563	-8.487815624056863	1.0	Rhbdl3	0.0027855624504282686
chr2	30124085	30126585	3.4994911860487594	0.0	1.7497455930243797	-8.455118070283278	1.0	Zer1	0.0028494159038646083
chr6	148443889	148446389	3.41904311280626	0.0	1.70952155640313	-8.421662232934473	1.0	Tmtc1	0.0029162654627040248
chr14	34817825	34820325	3.378819076185009	0.0	1.6894095380925045	-8.404638805393263	1.0	Grid1	0.0029508804616555652
chr2	130905896	130908396	3.318483021253134	0.0	1.659241510626567	-8.378720998795	1.0	Atrn	0.003004371642020609
chr2	130905906	130908406	3.318483021253134	0.0	1.659241510626567	-8.378720998795	1.0	Atrn	0.003004371642020609
chr8	3513384	3515884	3.298371002942509	0.0	1.6491855014712544	-8.36997721814512	1.0	Mcoln1	0.0030226356086139874
chr19	10869440	10871940	3.258146966321259	0.0	1.6290734831606295	-8.352329051720812	1.0	Tmem132a	0.003059837915201332
chr17	25131391	25133891	3.2179229297000087	0.0	1.6089614648500044	-8.334462322830639	1.0	Clcn7	0.0030979673981650366
chr7	5018376	5020876	3.2179229297000087	0.0	1.6089614648500044	-8.334462322830639	1.0	Zfp865	0.0030979673981650366
chr3	107759969	107762469	3.197810911389384	0.0	1.598905455694692	-8.32544529252739	1.0	Csf1	0.0031173907303871443
chr5	139905943	139908443	3.1776988930787584	0.0	1.5888494465393792	-8.316371549975706	1.0	Elfn1	0.0031370591562811466
chr15	6874469	6876969	3.1776988930787584	0.0	1.5888494465393792	-8.316371549975706	1.0	Osmr	0.0031370591562811466
chr12	110599452	110601952	3.1776988930787584	0.0	1.5888494465393792	-8.316371549975706	1.0	Dync1h1	0.0031370591562811466
chr8	105878881	105881381	3.1575868747681337	0.0	1.5787934373840669	-8.307240377279227	1.0	Edc4	0.0031569773443804903
chr16	30597723	30600223	3.1575868747681337	0.0	1.5787934373840669	-8.307240377279227	1.0	Fam43a	0.0031569773443804903
chr10	54075296	54077796	3.137474856457509	0.0	1.5687374282287545	-8.298051042823401	1.0	Man1a	0.003177150082544273
chr5	52188672	52191172	3.0570267832150084	0.0	1.5285133916075042	-8.260696954958972	1.0	9230114K14Rik	0.0032604866885177657
chr9	74951053	74953553	3.036914764904384	0.0	1.518457382452192	-8.25120533208015	1.0	Fam214a	0.003282008448409554
chr17	23671596	23674096	3.036914764904384	0.0	1.518457382452192	-8.25120533208015	1.0	Hcfc1r1	0.003282008448409554
chr3	94835567	94838067	3.016802746593758	0.0	1.508401373296879	-8.241650849154372	1.0	Pogz	0.003303816217047379
chr11	120719470	120721970	2.996690728283133	0.0	1.4983453641415665	-8.232032668022867	1.0	Rac3	0.0033259157338440823
chr5	31290616	31293116	2.9765787099725083	0.0	1.488289354986254	-8.222349933650614	1.0	Ift172	0.003348312892812409
chr2	167189655	167192155	2.9765787099725083	0.0	1.488289354986254	-8.222349933650614	1.0	Kcnb1	0.003348312892812409
chr6	124863483	124865983	2.956466691661883	0.0	1.4782333458309416	-8.212601773670219	1.0	Gpr162	0.003371013747805733
chr7	101837729	101840229	2.896130636730008	0.0	1.448065318365004	-8.182955746402202	1.0	Inppl1	0.003441001541228734
