chr	start	end	bg_mean	bm_mean	mean_intensity	log2_fold_change	coefficient_of_variation
chr6	115772538	115775038	0.3620163295912509	52.86828753396879	26.61515193178002	5.305620297376549	0.9863981114772828
chr14	48444128	48446628	0.7642566958037521	49.02664726333438	24.895451979569067	4.825564377059217	0.9693013528562987
chr7	142095343	142097843	0.2212322014168756	30.824589790566577	15.522910995991726	4.703732477124974	0.9857480210075288
chr5	138752514	138755014	0.5631365126975015	37.22732357495726	18.895230043827382	4.612088512528965	0.9701968956508435
chr6	91210455	91212955	1.086048988773753	49.483985390790856	25.285017189782305	4.59698086283108	0.957047725907316
chr10	77166048	77168548	1.9307537578200047	66.6798989831544	34.3053263704872	4.529383752267112	0.9437185428009505
chr3	89337528	89340028	0.9653768789100026	42.98978398090888	21.97758042990944	4.48429062263957	0.9560744695263991
chr11	83462571	83465071	1.2469451352587533	49.20958251431697	25.228263824787863	4.481925926166318	0.9505734859949588
chr11	115473667	115476167	1.3676172451225037	49.39251776529956	25.38006750521103	4.411701764323076	0.946114515068106
chr17	6104437	6106937	1.2067210986375032	43.99592786131313	22.601324479975315	4.349818235192624	0.9466083901540083
chrX	152142268	152144768	0.3217922929700009	25.51946751207144	12.920629902520721	4.3264844136479885	0.9750946900114196
chr5	135934116	135936616	1.4078412817437538	46.28261849859552	23.845229890169637	4.295497731921711	0.9409592070100298
chr6	125143241	125145741	0.9251528422887524	35.67237394160524	18.298763391946995	4.251648765857225	0.949441783443361
chrX	73965857	73968357	1.086048988773753	38.23346745536151	19.659758222067634	4.233239902874966	0.9447577647442943
chr10	58812642	58815142	0.8849288056675024	34.30035955923581	17.592644182451654	4.227100939838521	0.9496989311845345
chr11	102447182	102449682	1.3676172451225037	41.52630197304815	21.446959609085326	4.166847630431532	0.9362325816782368
chr5	105517388	105519888	1.7095215564031296	46.73995662605199	24.224739091227562	4.1390872255945	0.9294307546527016
chr7	84526954	84529454	0.4022403662125011	23.04984162380646	11.72604099500948	4.100221816956827	0.9656968309778475
chr4	138325807	138328307	0.8447047690462522	29.086704906231965	14.965704837639109	4.02766426395009	0.9435573012958401
chr7	19628938	19631438	2.373218160653757	53.41709328691656	27.89515572378516	4.011862364618853	0.9149236453758097
chr2	71979240	71981740	0.4424644028337512	21.952230117910915	11.197347260372332	3.9920267161152774	0.9604848905240582
chr3	88530395	88532895	1.9910898127518804	45.36794224368256	23.679516028217222	3.9543845672892246	0.9159150968128218
chr8	70537457	70539957	3.941955588882511	75.27785577933618	39.60990568410934	3.9481103381243696	0.900480561091971
chr7	102265806	102268306	0.7843687141143771	26.3426761414931	13.56352242780374	3.937668789078981	0.9421707216330096
chr6	119847667	119850167	1.5486254099181291	38.05053220437892	19.799578807148524	3.9375509597938523	0.921784931639101
chr17	56717199	56719699	2.0715378859943807	46.008215622121625	24.039876754058003	3.9358798350260864	0.913829097079514
chr2	112237468	112239968	1.126273025395003	31.098992667040463	16.112632846217732	3.9161292592756944	0.9301000006551144
