chr	start	end	gene	raw_count	count
chr1	9545948	9548448	Adhfe1	0	0.0
chr1	9699709	9702209	Mybl1	0	0.0
chr1	16103774	16106274	Rdh10	0	0.0
chr1	21078729	21081229	Tram2	4	22.230126267117196
chr1	21961442	21963942	Kcnq5	0	0.0
chr1	33906225	33908725	Dst	0	0.0
chr1	34676188	34678688	Arhgef4	0	0.0
chr1	36509867	36512367	Cnnm3	2	11.115063133558598
chr1	38836211	38838711	Lonrf2	0	0.0
chr1	44549511	44552011	Gulp1	0	0.0
chr1	52117440	52119940	Stat1	0	0.0
chr1	54194668	54197168	Hecw2	0	0.0
chr1	55403921	55406421	Plcl1	0	0.0
chr1	59761400	59763900	Bmpr2	0	0.0
chr1	61636824	61639324	Pard3b	0	0.0
chr1	62701285	62703785	Nrp2	0	0.0
chr1	63443891	63446391	Adam23	0	0.0
chr1	64121782	64124282	Klf7	0	0.0
chr1	64737251	64739751	Fzd5	0	0.0
chr1	64956324	64958824	Plekhm3	0	0.0
chr1	71652700	71655200	Fn1	0	0.0
chr1	72822503	72825003	Igfbp2	0	0.0
chr1	74123949	74126449	Tns1	0	0.0
chr1	74587746	74590246	Zfp142	0	0.0
chr1	74599445	74601945	Stk36	0	0.0
chr1	75210313	75212813	Glb1l	2	11.115063133558598
chr1	75373297	75375797	Speg	0	0.0
chr1	75478807	75481307	Chpf	0	0.0
chr1	75544266	75546766	Slc4a3	0	0.0
chr1	84695721	84698221	Dner	0	0.0
chr1	85892281	85894781	Itm2c	0	0.0
chr1	88701721	88704221	Arl4c	0	0.0
chr1	89930679	89933179	Gbx2	0	0.0
chr1	91458824	91461324	Per2	0	0.0
chr1	91492647	91495147	Traf3ip1	0	0.0
chr1	92179841	92182341	Hdac4	0	0.0
chr1	92829645	92832145	Gpc1	0	0.0
chr1	92848271	92850771	Gm29480	0	0.0
chr1	92908783	92911283	Rnpepl1	0	0.0
chr1	93101451	93103951	Kif1a	0	0.0
chr1	93233841	93236341	Sned1	0	0.0
chr1	93510079	93512579	Farp2	0	0.0
chr1	105356210	105358710	Rnf152	0	0.0
chr1	105988406	105990906	Zcchc2	0	0.0
chr1	119421748	119424248	Inhbb	0	0.0
chr1	131137840	131140340	Dyrk3	0	0.0
chr1	131526852	131529352	Srgap2	36	200.07113640405478
chr1	131825493	131827993	Slc41a1	0	0.0
chr1	132314126	132316626	Nuak2	0	0.0
chr1	132878273	132880773	Lrrn2	0	0.0
chr1	133423877	133426377	Sox13	0	0.0
chr1	134078620	134081120	Btg2	0	0.0
chr1	134234931	134237431	Adora1	0	0.0
chr1	134403559	134406059	Cyb5r1	0	0.0
chr1	134558171	134560671	Kdm5b	0	0.0
chr1	135144824	135147324	Arl8a	0	0.0
chr1	135764119	135766619	Phlda3	22	122.26569446914459
chr1	152902146	152904646	Smg7	0	0.0
chr1	152952993	152955493	Nmnat2	0	0.0
chr1	153332286	153334786	Lamc1	0	0.0
chr1	153549545	153552045	Npl	0	0.0
chr1	153897944	153900444	Glul	0	0.0
chr1	155099136	155101636	Ier5	0	0.0
chr1	155243944	155246444	BC034090	0	0.0
chr1	156673856	156676356	Tor3a	0	0.0
chr1	158360273	158362773	Astn1	0	0.0
chr1	162477534	162480034	Dnm3	0	0.0
chr1	162740056	162742556	Prrc2c	0	0.0
chr1	164247046	164249546	Slc19a2	38	211.18619953761336
chr1	166252139	166254639	Ildr2	0	0.0
chr1	171195768	171198268	Pcp4l1	0	0.0
chr1	174499825	174502325	Fmn2	28	155.61088386982038
chr1	175692276	175694776	Opn3	0	0.0
chr1	186705489	186707989	Tgfb2	0	0.0
chr1	189726268	189728768	Ptpn14	0	0.0
chr1	191904767	191907267	Slc30a1	0	0.0
chr1	192855256	192857756	Sertad4	0	0.0
chr1	194974375	194976875	A330023F24Rik	0	0.0
chr10	3738364	3740864	Plekhg1	0	0.0
chr10	5921900	5924400	Rgs17	0	0.0
chr10	7587800	7590300	Lrp11	0	0.0
chr10	7955730	7958230	Tab2	0	0.0
chr10	8518325	8520825	Ust	0	0.0
chr10	8885570	8888070	Sash1	0	0.0
chr10	9674708	9677208	Samd5	0	0.0
chr10	10557733	10560233	Rab32	0	0.0
chr10	13058504	13061004	Plagl1	0	0.0
chr10	13473896	13476396	Phactr2	0	0.0
chr10	13964075	13966575	Hivep2	0	0.0
chr10	14544679	14547179	Adgrg6	0	0.0
chr10	18316985	18319485	Nhsl1	0	0.0
chr10	22148770	22151270	E030030I06Rik	0	0.0
chr10	22156586	22159086	H60b	0	0.0
chr10	26078552	26081052	Tmem200a	0	0.0
chr10	28072820	28075320	Ptprk	0	0.0
chr10	32889962	32892462	Nkain2	0	0.0
chr10	34207051	34209551	Dse	20	111.15063133558598
chr10	42276255	42278755	Foxo3	0	0.0
chr10	43477140	43479640	Bend3	0	0.0
chr10	52688533	52691033	Slc35f1	0	0.0
chr10	53750409	53752909	Fam184a	0	0.0
chr10	54075296	54077796	Man1a	0	0.0
chr10	58811359	58813859	Sh3rf3	0	0.0
chr10	58812642	58815142	Gm9987	0	0.0
chr10	60104219	60106719	Spock2	0	0.0
chr10	60275627	60278127	Psap	0	0.0
chr10	60752294	60754794	Slc29a3	0	0.0
chr10	61147203	61149703	Sgpl1	4	22.230126267117196
chr10	61272938	61275438	Adamts14	0	0.0
chr10	61452169	61454669	Eif4ebp2	0	0.0
chr10	61713263	61715763	Aifm2	0	0.0
chr10	70243100	70245600	Slc16a9	0	0.0
chr10	74965177	74967677	Gnaz	0	0.0
chr10	75035058	75037558	Rab36	0	0.0
chr10	75559830	75562330	Lrrc75b	0	0.0
chr10	75763857	75766357	Cabin1	0	0.0
chr10	77166048	77168548	Col18a1	17	94.47803663524809
chr10	78464475	78466975	Pdxk	0	0.0
chr10	78572500	78575000	Ilvbl	0	0.0
chr10	79714634	79717134	Hcn2	0	0.0
chr10	79791572	79794072	Palm	0	0.0
chr10	79968715	79971215	Grin3b	0	0.0
chr10	80102198	80104698	Sbno2	0	0.0
chr10	80140335	80142835	Cbarp	2	11.115063133558598
chr10	80146272	80148772	Midn	2	11.115063133558598
chr10	80741711	80744211	Ap3d1	4	22.230126267117196
chr10	80753206	80755706	Dot1l	0	0.0
chr10	80796198	80798698	Sf3a2	0	0.0
chr10	81014445	81016945	Gng7	0	0.0
chr10	81430505	81433005	Nfic	0	0.0
chr10	81482209	81484709	Celf5	0	0.0
chr10	81495892	81498392	Ncln	67	372.35461497421306
chr10	83337382	83339882	Slc41a2	0	0.0
chr10	84440097	84442597	Nuak1	0	0.0
chr10	84574626	84577126	Tcp11l2	0	0.0
chr10	85384814	85387314	Btbd11	22	122.26569446914459
chr10	87493160	87495660	Ascl1	0	0.0
chr10	89871509	89874009	Anks1b	0	0.0
chr10	91082270	91084770	Apaf1	2	11.115063133558598
chr10	95416680	95419180	Socs2	18	100.03556820202739
chr10	99106159	99108659	Galnt4	0	0.0
chr10	105571953	105574453	Gm15663	60	333.451894006758
chr10	110455704	110458204	Nav3	0	0.0
chr10	115361762	115364262	Tmem19	0	0.0
chr10	117627500	117630000	Cpm	0	0.0
chr10	117710258	117712758	Mdm2	0	0.0
chr10	121363090	121365590	Gns	0	0.0
chr10	122046815	122049315	Srgap1	0	0.0
chr10	122676762	122679262	Ppm1h	0	0.0
chr10	126976717	126979217	Ctdsp2	0	0.0
chr10	127059684	127062184	March9	0	0.0
chr10	127120660	127123160	Os9	19	105.59309976880668
chr10	127189554	127192054	Arhgef25	0	0.0
chr10	127195228	127197728	Dtx3	0	0.0
chr10	127288518	127291018	Mbd6	0	0.0
chr10	127378327	127380827	R3hdm2	0	0.0
chr10	127620648	127623148	Lrp1	0	0.0
chr10	128090783	128093283	Baz2a	0	0.0
chr10	128268576	128271076	Stat2	16	88.92050506846878
chr10	128375115	128377615	Ankrd52	0	0.0
chr10	128457236	128459736	Smarcc2	0	0.0
chr10	128525359	128527859	Esyt1	0	0.0
chr10	128803870	128806370	Tmem198b	0	0.0
chr10	128891218	128893718	Gdf11	0	0.0
chr10	128922388	128924888	Rdh5	0	0.0
chr11	3286874	3289374	Patz1	0	0.0
chr11	3647494	3649994	Morc2a	0	0.0
chr11	3893240	3895740	Dusp18	0	0.0
chr11	4133202	4135702	Rnf215	0	0.0
chr11	4159793	4162293	Ccdc157	0	0.0
chr11	4635747	4638247	Ascc2	0	0.0
chr11	4984824	4987324	Ap1b1	0	0.0
chr11	5444347	5446847	Znrf3	0	0.0
chr11	6289633	6292133	Ogdh	0	0.0
chr11	6475417	6477917	Purb	0	0.0
chr11	7061489	7063989	Adcy1	0	0.0
chr11	7213423	7215923	Igfbp3	0	0.0
chr11	8664035	8666535	Tns3	0	0.0
chr11	11112223	11114723	Vwc2	0	0.0
chr11	16750203	16752703	Egfr	0	0.0
chr11	16950782	16953282	Eldr	0	0.0
chr11	19018485	19020985	Meis1	0	0.0
chr11	20332213	20334713	Slc1a4	0	0.0
chr11	22002397	22004897	Otx1	0	0.0
chr11	28583824	28586324	Ccdc85a	0	0.0
chr11	30267675	30270175	Sptbn1	0	0.0
chr11	31870211	31872711	Cpeb4	0	0.0
chr11	32221800	32224300	Rhbdf1	0	0.0
