chr	start	end	bg_mean	bm_mean	mean_intensity	log2_fold_change	coefficient_of_variation
chr7	142095343	142097843	0.2212322014168756	26.555009988110207	13.388121094763541	4.495905208902647	0.983475485480677
chr10	77166048	77168548	1.9307537578200047	58.01607754000617	29.97341564891309	4.33176437342424	0.9355844598948796
chr2	71979240	71981740	0.4424644028337512	19.312734536807422	9.877599469820586	3.8157768493411437	0.9552052698445984
chr14	77034772	77037272	0.5430244943868765	18.222499522632813	9.382762008509845	3.638963074589945	0.9421253044791744
chr7	126270619	126273119	2.131873940926256	36.05562939734612	19.093751669136186	3.5645946798504275	0.8883470374042681
chr5	22344202	22346702	0.4424644028337512	15.341164128028478	7.8918142654311145	3.5019031417174933	0.9439337536399077
chr15	79106972	79109472	1.5888494465393792	28.034614650204325	14.811732048371852	3.4873909131390297	0.8927303409654895
chr5	132542844	132545344	1.890529721198755	27.333749283949217	14.612139502573987	3.2931157082974267	0.8706192395120693
chr5	23432441	23434941	5.671589163596265	59.49568220210029	32.583635682848275	3.1807298201626173	0.825937497619956
chr9	108824320	108826820	1.2469451352587533	19.234860607223524	10.240902871241138	3.1708061076035543	0.8782387499484573
chrX	151342175	151344675	2.131873940926256	26.71075784727801	14.421315894102133	3.145348116978089	0.8521720239275721
chr11	64433332	64435832	1.91064173950938	23.128557086418567	12.519599412963974	3.051332464099221	0.8473879493675396
chr9	37255238	37257738	1.3072811901906285	17.3658862972099	9.336583743700265	2.992762776795366	0.8599829202975124
chr6	56568603	56571103	1.2067210986375032	16.509273071786993	8.857997085212247	2.9881429809723627	0.8637704339898653
chr10	58811359	58813859	2.876018618419383	29.436345382714546	16.156182000566965	2.9731477330537697	0.8219864929524527
chr11	102088015	102090515	2.514002288828132	26.243514269774604	14.378758279301367	2.954725779260067	0.8251585957566928
chr14	54912632	54915132	0.6234725676293766	11.447467648833433	6.035470108231404	2.9386973535898546	0.8966985907561598
chr8	54075606	54078106	1.6894095380925045	19.546356325559127	10.617882931825816	2.9335212023345205	0.8408901709559534
chr7	84086002	84088502	6.496181914331893	0.0	3.2480909571659464	-2.906155964165721	1.0
chr15	64921796	64924296	0.3217922929700009	8.799754042980803	4.560773167975402	2.8902500515966616	0.9294434778669668
