chr	start	end	bg_mean	bm_mean	log2_fold_change
chr3	93553080	93555580	1.2523803474806032	270.50843289546486	6.913402729554395
chr2	130397074	130399574	1.7506391954029938	209.02924360104103	6.254679494478231
chr10	77166048	77168548	0.8483866870029894	81.97225239256511	5.488290441811068
chr8	105965597	105968097	2.9087543554388207	155.7472795458737	5.325587672365149
chr9	4795734	4798234	2.154632855880608	106.56392811033466	5.091578426121512
chr10	34207215	34209715	0.5251917586208982	45.08473881591081	4.9172265286015415
chr15	98870704	98873204	2.679824614501506	102.4653154907064	4.8133663991422395
chr6	148443889	148446389	1.400511356322395	65.57780191405209	4.793627574041289
chr7	128521616	128524116	2.450894873564192	90.16947763182162	4.72350847951016
chr4	155837680	155840180	2.073834123785085	73.7750271533086	4.604445310509085
chr2	29252505	29255005	2.1950322219283693	73.7750271533086	4.548654143284863
chr10	86498396	86500896	3.299281560567181	98.36670287107816	4.530594994310197
chr2	160366565	160369065	6.288834648101524	135.25421644773243	4.224468892868798
chr8	54075606	54078106	1.5621088205134406	40.98612619628256	4.034509027926336
chrX	71048240	71050740	1.3870449009731414	36.8875135766543	3.9884248547073615
chr3	100488824	100491324	4.255399890364201	77.87363977293685	3.9076707700378224
chr17	26939253	26941753	10.301838342179156	0.0	-3.4984855534954904
chr7	45015863	45018363	10.247972520782142	0.0	-3.4915930698567714
chr11	120230947	120233447	8.605064968173178	0.0	-3.2637953722400233
chr7	80404936	80407436	0.5386582139701519	12.295837858884768	3.111229990960073
chr10	60752294	60754794	6.6389624871821225	0.0	-2.933376706815971
chr5	23432441	23434941	6.369633380197047	0.0	-2.881592850836275
chr8	128356604	128359104	5.184585309462713	0.0	-2.628676862454846
chr7	142387538	142390038	4.982588479223906	0.0	-2.5807698285951357
chr15	103501034	103503534	4.32273216711047	0.0	-2.412166973570754
chr9	14381007	14383507	4.282332801062708	0.0	-2.4011751980058964
chr9	27297204	27299704	4.161134702919424	0.0	-2.3676882847002036
chr7	16127826	16130326	4.14766824757017	0.0	-2.3639190790038844
chr9	35419128	35421628	4.107268881522408	0.0	-2.3525520143719585
chr19	60753987	60756487	4.080335970823901	0.0	-2.344923907905721
chr11	114763388	114765888	3.86487268523584	0.0	-2.2824020498610036
chr7	74554280	74556780	3.837939774537333	0.0	-2.2743928099302533
chr15	72809824	72812324	3.7302081317433022	0.0	-2.2419036643316432
chr13	55513176	55515676	3.7167416763940486	0.0	-2.2377905903967705
chr2	27884425	27886925	3.64940939964778	0.0	-2.217047466690764
chr1	119421748	119424248	3.6359429442985256	0.0	-2.2128628108473833
chr11	4159793	4162293	3.5955435782507643	0.0	-2.2002355190256853
chr12	79295804	79298304	3.541677756853749	0.0	-2.183225346933944
chr2	121270907	121273407	3.501278390805988	0.0	-2.1703347939203232
chr14	54577058	54579558	3.47434548010748	0.0	-2.161676656306466
chr2	118777719	118780219	3.4339461140597187	0.0	-2.1485912371760794
chrX	133688487	133690987	3.407013203361211	0.0	-2.139801218919685
chr11	64433332	64435832	3.3800802926627034	0.0	-2.1309573165763496
chr11	120726781	120729281	3.353147381964196	0.0	-2.1220588654346635
chr6	55449978	55452478	3.299281560567181	0.0	-2.1040955957207137
chr2	165234353	165236853	3.299281560567181	0.0	-2.1040955957207137
chr19	4876668	4879168	4.053403060125394	20.49306309814128	2.088543944845428
chr7	143756485	143758985	3.231949283820912	0.0	-2.0813223381280994
chr5	113015291	113017791	3.218482828471658	0.0	-2.076724228933589
chr15	32242810	32245310	3.218482828471658	0.0	-2.076724228933589
chr18	9210163	9212663	3.218482828471658	0.0	-2.076724228933589
chr15	91671175	91673675	3.205016373122404	0.0	-2.0721114179302433
chr12	111907610	111910110	3.151150551725389	0.0	-2.0535112557885253
chr5	139905943	139908443	3.1107511856776275	0.0	-2.0394020515290996
chr7	84086002	84088502	3.056885364280612	0.0	-2.0203725367762573
chr5	3802425	3804925	3.056885364280612	0.0	-2.0203725367762573
chr9	75683556	75686056	3.0434189089313586	0.0	-2.015575678388296
chr4	115826092	115828592	3.0299524535821045	0.0	-2.01076281756566
chr18	79108891	79111391	3.016485998232851	0.0	-2.0059338471818613
chr3	84039675	84042175	3.016485998232851	0.0	-2.0059338471818613
chr7	110625661	110628161	2.9895530875343432	0.0	-1.99622714381361
chr5	132542844	132545344	2.9760866321850896	0.0	-1.9913491911210763
chr9	51076594	51079094	2.962620176835836	0.0	-1.9864546894213786
chr7	126200001	126202501	2.962620176835836	0.0	-1.9864546894213786
chr4	124861671	124864171	2.9087543554388207	0.0	-1.9667089217144953
chr2	27027498	27029998	2.868354989391059	0.0	-1.951720193453418
chr3	25143761	25146261	2.868354989391059	0.0	-1.951720193453418
chr11	99039244	99041744	2.8279556233432976	0.0	-1.9365741050711562
chr15	79658456	79660956	2.814489167994044	0.0	-1.9314898659334816
chr16	90384013	90386513	2.7740898019462827	0.0	-1.9161287513117535
chr6	83163920	83166420	2.7606233465970287	0.0	-1.9109718173571622
chr7	126246862	126249362	2.747156891247775	0.0	-1.9057963837216212
chr2	69585565	69588065	2.6394252484537444	0.0	-1.863710632655687
chr7	45333280	45335780	2.6259587931044908	0.0	-1.8583625297920539
chr11	78463697	78466197	2.599025882405983	0.0	-1.8476064774458831
chr8	95674980	95677480	2.599025882405983	0.0	-1.8476064774458831
chr8	117156135	117158635	2.5720929717074754	0.0	-1.83676963031238
chr17	32534558	32537058	2.558626516358222	0.0	-1.8313205276012718
chr6	85069013	85071513	2.558626516358222	0.0	-1.8313205276012718
chr2	181362928	181365428	2.545160061008968	0.0	-1.8258507654086265
chr11	84878148	84880648	2.531693605659714	0.0	-1.820360186483212
chr2	180587245	180589745	2.531693605659714	0.0	-1.820360186483212
chr9	59537540	59540040	2.5047606949612065	0.0	-1.8093159403902224
