chr	start	end	bg_mean	bm_mean	log2_fold_change	pvalue	padj
chr3	65528029	65528383	417.0	27.0	-3.900004210023279	1.0	1.0
chr15	36609275	36609616	606.0	68.0	-3.137028249477513	1.0	1.0
chr12	55836176	55836602	456.0	51.0	-3.1356106369169776	1.0	1.0
chr6	89644388	89644678	568.0	71.0	-2.982359840864269	1.0	1.0
chr6	52012191	52012948	1338.0	232.0	-2.5227541006700305	1.0	1.0
chr2	165503245	165503934	1544.0	292.0	-2.398634268369489	1.0	1.0
chr15	102625078	102626132	2594.0	507.0	-2.3528341364730774	1.0	1.0
chr10	30618171	30618677	773.0	160.0	-2.2652728780297933	1.0	1.0
chr15	80710719	80711256	400.0	1837.0	2.196462624834114	1.0	1.0
chr8	69832332	69832711	574.0	125.0	-2.190138222331821	1.0	1.0
chr15	73645756	73646038	755.0	168.0	-2.1613629879388885	1.0	1.0
chr9	104002138	104002788	1149.0	271.0	-2.0799553045813983	1.0	1.0
chr11	78697425	78698017	240.0	1007.0	2.064390587269955	1.0	1.0
chr7	19749568	19749944	440.0	105.0	-2.0567143909943213	1.0	1.0
chr17	56831076	56831339	180.0	737.0	2.0276311189771907	1.0	1.0
chr13	22035201	22036098	1764.0	448.0	-1.974880833417396	1.0	1.0
chr15	102517933	102519042	2298.0	588.0	-1.9646669268877195	1.0	1.0
chr7	102210096	102210611	153.0	595.0	1.9523819797672604	1.0	1.0
chr13	92354588	92355401	1452.0	376.0	-1.946398274364177	1.0	1.0
chr15	76659838	76660285	302.0	1104.0	1.866656670805843	1.0	1.0
chr11	97187931	97188392	156.0	556.0	1.8269127684484048	1.0	1.0
chr7	100371888	100372391	382.0	1303.0	1.7675275723061206	1.0	1.0
chr7	80803260	80803524	700.0	212.0	-1.7185610137847849	1.0	1.0
chr19	36736632	36736993	447.0	137.0	-1.698830465279435	1.0	1.0
chr4	40142902	40143827	1588.0	502.0	-1.659488819542992	1.0	1.0
chr17	46383445	46383792	201.0	626.0	1.6341101500502442	1.0	1.0
chr16	38088692	38089443	546.0	1694.0	1.6316725352311496	1.0	1.0
chr14	21830775	21831329	1788.0	580.0	-1.6225433186473792	1.0	1.0
chr5	135545171	135545686	908.0	2729.0	1.5865487516131078	1.0	1.0
chr11	49846359	49846940	1292.0	455.0	-1.5036165456455126	1.0	1.0
chr8	114439356	114440074	1090.0	388.0	-1.4878090413374152	1.0	1.0
chr7	24884088	24884668	400.0	1094.0	1.4492567280336155	1.0	1.0
chr12	8921587	8922124	209.0	565.0	1.43041272516576	1.0	1.0
chr3	131564528	131565129	848.0	317.0	-1.4167377882686831	1.0	1.0
chr9	21546249	21546793	354.0	921.0	1.3769477260372935	1.0	1.0
chr17	25919754	25920502	755.0	1900.0	1.3303003924274794	1.0	1.0
chr4	45530758	45531129	667.0	265.0	-1.3284218569728627	1.0	1.0
chr10	81320376	81321105	736.0	295.0	-1.31606744346612	1.0	1.0
chr15	82346009	82346382	1030.0	414.0	-1.3128610911338212	1.0	1.0
chr18	25168198	25168980	740.0	299.0	-1.304511041809953	1.0	1.0
chr8	69749707	69750231	786.0	320.0	-1.2937903383851834	1.0	1.0
chr15	102405568	102406304	1299.0	3101.0	1.254687063120274	1.0	1.0
chr10	80701999	80702510	576.0	1360.0	1.2380238428585122	1.0	1.0
chr11	109425602	109426119	1011.0	441.0	-1.1950910153028786	1.0	1.0
chr9	51278762	51279078	406.0	177.0	-1.1931515532998491	1.0	1.0
chr7	16923959	16924588	392.0	897.0	1.1921861324825405	1.0	1.0
chr7	19715420	19716117	694.0	1582.0	1.187576372526311	1.0	1.0
chr2	30807559	30808364	1492.0	661.0	-1.1733110433273235	1.0	1.0
chr2	37358575	37359277	2009.0	895.0	-1.1656248640086868	1.0	1.0
chr14	21500247	21500881	962.0	2104.0	1.1282125301102992	1.0	1.0
chr6	24956229	24957127	1340.0	615.0	-1.1223069812095725	1.0	1.0
chr15	85735293	85735707	532.0	244.0	-1.1213537837566054	1.0	1.0
chr18	36559787	36560608	1398.0	651.0	-1.1014520929336755	1.0	1.0
chr3	31094631	31094999	83.0	178.0	1.091498354485496	1.0	1.0
chr19	43674841	43675396	591.0	1251.0	1.0805654813036685	1.0	1.0
chr6	51469954	51470363	1108.0	524.0	-1.078870037608225	1.0	1.0
chr15	85634424	85635283	1638.0	793.0	-1.045604941956501	1.0	1.0
chr7	127027138	127027484	630.0	311.0	-1.0160939761203007	1.0	1.0
chr9	80164628	80165127	1575.0	785.0	-1.0036663171977698	1.0	1.0
