chr	start	end	bg_mean	bm_mean	log2_fold_change	pvalue	padj
chr9	13827070	13827731	1392.0	1572.0	0.17532341281443378	1.0	1.0
chr9	21291059	21291596	469.0	665.0	0.5028614205062625	1.0	1.0
chr9	21546249	21546793	354.0	921.0	1.3769477260372935	1.0	1.0
chr9	25252154	25252531	481.0	355.0	-0.4371559052635638	1.0	1.0
chr9	40800742	40801397	1795.0	1044.0	-0.7812844077729019	1.0	1.0
chr9	51278762	51279078	406.0	177.0	-1.1931515532998493	1.0	1.0
chr9	80164628	80165127	1575.0	785.0	-1.0036663171977698	1.0	1.0
chr9	104002138	104002788	1149.0	271.0	-2.0799553045813983	1.0	1.0
chr9	109931434	109931893	795.0	651.0	-0.2878964663125713	1.0	1.0
chr1	34439369	34439914	766.0	432.0	-0.8248595527762086	1.0	1.0
chr1	46853478	46853917	326.0	458.0	0.48920351791572547	1.0	1.0
chr1	75317448	75318016	817.0	1546.0	0.9193004485072869	1.0	1.0
chr1	131527162	131527913	2219.0	3519.0	0.6650157522871913	1.0	1.0
chr1	153332796	153333543	1717.0	980.0	-0.8084049949192248	1.0	1.0
chr1	156036004	156036660	626.0	415.0	-0.5918819146609469	1.0	1.0
chr1	170644378	170644736	372.0	498.0	0.4198641850820228	1.0	1.0
chr10	58322843	58323556	1764.0	1393.0	-0.34043762229011953	1.0	1.0
chr10	80433788	80434127	273.0	512.0	0.9047829326465274	1.0	1.0
chr10	80701999	80702510	576.0	1360.0	1.2380238428585122	1.0	1.0
chr10	81320376	81321105	736.0	295.0	-1.31606744346612	1.0	1.0
chr10	86705470	86706128	991.0	1084.0	0.12928301694496647	1.0	1.0
chr10	119239896	119240536	588.0	1023.0	0.7978761761695392	1.0	1.0
chr11	6444366	6444766	410.0	488.0	0.2506960712705508	1.0	1.0
chr11	20332728	20333296	945.0	1662.0	0.8138760799478739	1.0	1.0
chr11	20542727	20543337	958.0	1901.0	0.9879145258424327	1.0	1.0
chr11	23255267	23255962	810.0	1310.0	0.6928938660044816	1.0	1.0
chr11	49846359	49846940	1292.0	455.0	-1.5036165456455126	1.0	1.0
chr11	61175050	61175521	955.0	1582.0	0.7275787321564324	1.0	1.0
chr11	78697425	78698017	240.0	1007.0	2.064390587269955	1.0	1.0
chr11	86484188	86484713	889.0	762.0	-0.22212227901922962	1.0	1.0
chr11	87591772	87592192	623.0	1166.0	0.9031866268450998	1.0	1.0
chr11	96977640	96978067	653.0	903.0	0.4670321369171052	1.0	1.0
chr11	97187931	97188392	156.0	556.0	1.8269127684484048	1.0	1.0
chr11	100397713	100398124	529.0	367.0	-0.5262865933935487	1.0	1.0
chr11	106083992	106084616	596.0	1125.0	0.9154039908154247	1.0	1.0
chr11	109425602	109426119	1011.0	441.0	-1.1950910153028786	1.0	1.0
chr11	121236759	121237327	834.0	1206.0	0.5315775733936069	1.0	1.0
chr12	8921587	8922124	209.0	565.0	1.43041272516576	1.0	1.0
chr12	31950241	31951103	1149.0	962.0	-0.2560261579882783	1.0	1.0
chr12	51692007	51692370	471.0	603.0	0.35576168996323754	1.0	1.0
chr12	55836176	55836602	456.0	51.0	-3.1356106369169776	1.0	1.0
chr12	84451018	84451466	548.0	1057.0	0.9464615731088271	1.0	1.0
chr12	85454993	85455720	763.0	493.0	-0.629061596451071	1.0	1.0
chr12	100724933	100725551	986.0	980.0	-0.008796948237158861	1.0	1.0
chr12	108179325	108179806	465.0	664.0	0.5130243857342718	1.0	1.0
chr12	111813871	111814276	284.0	183.0	-0.6312561529950911	1.0	1.0
chr13	14063156	14063828	750.0	865.0	0.20555411721245306	1.0	1.0
chr13	22035201	22036098	1764.0	448.0	-1.9748808334173957	1.0	1.0
chr13	24800491	24801134	749.0	770.0	0.0398402645317911	1.0	1.0
chr13	41249659	41250068	405.0	430.0	0.08620814190392187	1.0	1.0
chr13	81783156	81783801	803.0	996.0	0.31039800321926736	1.0	1.0
chr13	92354588	92355401	1452.0	376.0	-1.946398274364177	1.0	1.0
chr13	101768173	101768653	606.0	692.0	0.19115883588153165	1.0	1.0
chr13	107890033	107890684	663.0	739.0	0.1563420291693875	1.0	1.0
chr13	111725058	111725834	924.0	1071.0	0.21277963505409786	1.0	1.0
chr13	119690036	119690811	1436.0	859.0	-0.7406514968678761	1.0	1.0
chr14	18238599	18239439	1934.0	971.0	-0.9933053474259916	1.0	1.0
chr14	21500247	21500881	962.0	2104.0	1.1282125301102992	1.0	1.0
chr14	21830775	21831329	1788.0	580.0	-1.6225433186473792	1.0	1.0
chr14	52103968	52104477	412.0	642.0	0.6386769559085019	1.0	1.0
chr14	56811469	56811879	407.0	420.0	0.04525108109490064	1.0	1.0
chr14	61172592	61173086	681.0	880.0	0.3693702798962411	1.0	1.0
chr14	61556399	61557042	915.0	681.0	-0.42557585907277146	1.0	1.0
chr14	62837249	62837787	1048.0	926.0	-0.1783734339517369	1.0	1.0
chr14	67715510	67716188	2237.0	1307.0	-0.7748474954783116	1.0	1.0
chr14	120477364	120477876	1991.0	1117.0	-0.8332974592248908	1.0	1.0
chr15	36609275	36609616	606.0	68.0	-3.1370282494775132	1.0	1.0
chr15	37960645	37961346	897.0	1087.0	0.27689120650919247	1.0	1.0
chr15	73645756	73646038	755.0	168.0	-2.1613629879388885	1.0	1.0
chr15	76659838	76660285	302.0	1104.0	1.866656670805843	1.0	1.0
chr15	80710719	80711256	400.0	1837.0	2.196462624834114	1.0	1.0
chr15	81190700	81191084	440.0	340.0	-0.37100691653334805	1.0	1.0
chr15	81810979	81811497	823.0	936.0	0.18540471047596857	1.0	1.0
chr15	82346009	82346382	1030.0	414.0	-1.3128610911338212	1.0	1.0
chr15	85634424	85635283	1638.0	793.0	-1.045604941956501	1.0	1.0
chr15	85735293	85735707	532.0	244.0	-1.1213537837566054	1.0	1.0
chr15	93275196	93275714	661.0	670.0	0.01948154939296575	1.0	1.0
chr15	100615167	100615568	955.0	761.0	-0.3272196204874264	1.0	1.0
chr15	102405568	102406304	1299.0	3101.0	1.254687063120274	1.0	1.0
chr15	102517933	102519042	2298.0	588.0	-1.9646669268877195	1.0	1.0
chr15	102625078	102626132	2594.0	507.0	-2.3528341364730774	1.0	1.0
chr15	103239463	103240315	762.0	1397.0	0.873609398540906	1.0	1.0
chr16	4594337	4594649	348.0	202.0	-0.7817473090244762	1.0	1.0
chr16	38088692	38089443	546.0	1694.0	1.6316725352311496	1.0	1.0
chr16	42875123	42876057	2492.0	4256.0	0.7719542072902069	1.0	1.0
chr16	52031152	52031815	1310.0	1091.0	-0.26369482930190213	1.0	1.0
chr16	55934473	55934900	279.0	455.0	0.7036069972197752	1.0	1.0
chr17	3557463	3557960	470.0	497.0	0.08041868245529772	1.0	1.0
chr17	25015777	25016328	532.0	680.0	0.3535192652528954	1.0	1.0
chr17	25919754	25920502	755.0	1900.0	1.3303003924274794	1.0	1.0
chr17	26508495	26509027	734.0	512.0	-0.5187854241166726	1.0	1.0
chr17	31564198	31564779	775.0	499.0	-0.6341285575250406	1.0	1.0
chr17	33760253	33760643	779.0	724.0	-0.10549312884731382	1.0	1.0
chr17	34603602	34604278	575.0	1034.0	0.8454900509443752	1.0	1.0
chr17	46383445	46383792	201.0	626.0	1.6341101500502442	1.0	1.0
chr17	48409478	48410217	871.0	823.0	-0.08168379759370797	1.0	1.0
chr17	56078983	56079601	923.0	1401.0	0.6015215925945656	1.0	1.0
chr17	56256348	56256776	363.0	343.0	-0.08152988549659837	1.0	1.0
chr17	56831076	56831339	180.0	737.0	2.0276311189771907	1.0	1.0
chr17	57031536	57032234	1091.0	1687.0	0.6283420477873327	1.0	1.0
chr17	57247365	57248052	734.0	1221.0	0.7334281300950027	1.0	1.0
chr17	63863734	63864057	172.0	315.0	0.8691525205403783	1.0	1.0
chr17	74527811	74528475	1007.0	882.0	-0.1910102958514505	1.0	1.0
chr18	21300053	21300621	716.0	694.0	-0.04496014109103491	1.0	1.0
chr18	25168198	25168980	740.0	299.0	-1.304511041809953	1.0	1.0
chr18	36559787	36560608	1398.0	651.0	-1.1014520929336757	1.0	1.0
chr18	38250225	38250544	486.0	545.0	0.1649791788375104	1.0	1.0
chr18	38992860	38993242	893.0	729.0	-0.29237836741593815	1.0	1.0
chr18	46525803	46526293	1288.0	1296.0	0.008926215890048435	1.0	1.0
chr18	73572270	73572812	535.0	696.0	0.37892565541065065	1.0	1.0
chr19	3575738	3576199	557.0	369.0	-0.5927398513128754	1.0	1.0
chr19	6979854	6980469	1004.0	1170.0	0.22054557443492415	1.0	1.0
chr19	8741318	8741756	251.0	228.0	-0.13807613540297256	1.0	1.0
chr19	11965272	11965811	363.0	579.0	0.6721144498162381	1.0	1.0
chr19	14598046	14598602	885.0	1194.0	0.4316320143130926	1.0	1.0
chr19	28011278	28012164	1534.0	908.0	-0.7558864560634346	1.0	1.0
chr19	36736632	36736993	447.0	137.0	-1.698830465279435	1.0	1.0
chr19	43674841	43675396	591.0	1251.0	1.0805654813036685	1.0	1.0
chr2	3283758	3284216	843.0	683.0	-0.3032466738212872	1.0	1.0
chr2	25224639	25225296	765.0	764.0	-0.0018846443449428952	1.0	1.0
chr2	26445228	26445923	941.0	598.0	-0.6531710568239977	1.0	1.0
chr2	30807559	30808364	1492.0	661.0	-1.1733110433273235	1.0	1.0
chr2	37358575	37359277	2009.0	895.0	-1.1656248640086868	1.0	1.0
chr2	119547246	119547777	557.0	456.0	-0.2880709567711178	1.0	1.0
