chr	start	end	bg_mean	bm_mean	log2_fold_change	gene	fold_change
chr10	77166048	77168548	1.3888984519308305	58.01607754000617	4.626690602634074	Aass	24.70430565698862
chr2	71979240	71981740	0.3250613398135986	19.312734536807422	3.938253419252096	Abcc12	15.329656014011317
chr11	118401592	118404092	0.2955103089214532	17.677382015545504	3.849699847714101	Adamts7	14.41700763546599
chr9	4795734	4798234	0.6648981950732699	22.583439579331262	3.824268279316191	Adcy8	14.165094087505686
chr14	77034772	77037272	0.3989389170439619	18.222499522632813	3.7803910680462	Adcyap1r1	13.740771157650729
chr15	79106898	79109398	1.2411432974701038	28.034614650204325	3.695467084562584	Adgrg6	12.955269162386816
chr9	88546020	88548520	0.4432654633821799	16.509273071786993	3.6007106011854635	Adm	12.131706547425711
chr18	23413135	23415635	0.4137144324900346	14.017307325102164	3.4090635207785294	Ajuba	10.62258896137288
chr9	108824320	108826820	0.9456329885486504	19.234860607223524	3.378531410322964	Aldh1l1	10.400142640631191
chrX	151342175	151344675	1.669633245406211	26.71075784727801	3.375732703895101	Ampd2	10.379986799670503
chr5	23432441	23434941	4.875920097203979	59.49568220210029	3.3639454927713195	Ankib1	10.295524990356284
chr5	22344202	22346702	0.5910206178429065	15.341164128028478	3.360486326669735	Arhgap20	10.270868865410243
chr7	142095343	142097843	1.6991842762983562	26.555009988110207	3.3517192704499283	Arhgap6	10.20864348909848
chr5	132542844	132545344	1.8026128844208649	27.333749283949217	3.3376771314313665	Arhgef18	10.109762015814086
chr11	64433332	64435832	1.5514291218376297	23.128557086418567	3.2413641737950067	Astn1	9.456879236778612
chr9	37255238	37257738	0.9899595348868684	17.3658862972099	3.206217519539884	Auts2	9.229276261767815
chr7	140955487	140957987	1.536653606391557	21.33745670598885	3.138466502821434	Bag3	8.805875839612312
chr11	97797000	97799500	1.2559188129161765	18.06675166346501	3.079272024235616	Bahcc1	8.451878478205446
chr8	54075606	54078106	1.4775515446072665	19.546356325559127	3.0518955925918965	Cacna1b	8.293008623889627
chr7	105648827	105651327	1.492327060053339	19.62423025514303	3.048774969464324	Carmil3	8.27508980892004
chr15	79658456	79660956	2.393633502263772	26.399262128942407	3.013234367878463	Cast	8.07372455236116
chr1	44549511	44552011	1.3741229364847578	18.06675166346501	3.0055925301717816	Ccdc122	8.03107175725962
chr11	102088015	102090515	2.452735564048062	26.243514269774604	2.980101064102241	Ccdc157	7.890414358241128
chr11	120726781	120729281	1.5957556681758476	18.84549095930402	2.934584756079621	Cd180	7.645361696638545
chr16	5145109	5147609	2.6152662339548614	26.63288391769411	2.9342123389318124	Cd93	7.6433883784723555
chr10	58811359	58813859	3.0142051509988232	29.436345382714546	2.922608884467899	Cdh22	7.5821599140595275
chr7	84086002	84088502	6.560328858056263	0.0	-2.918448989944784	Cdon	0.13226937859117105
chr7	16127826	16130326	1.8026128844208649	19.390608466391324	2.863060438183749	Celsr3	7.275570800283702
chr10	14545159	14547659	1.2411432974701038	15.263290198444578	2.859312354070981	Cemip	7.256693588849611
chr3	154661859	154664359	2.1720007705726814	21.80470028349225	2.8458661827101124	Cep170b	7.189374131007865
chr15	64921796	64924296	0.3841634015978892	8.799754042980803	2.8237312761781346	Col18a1	7.079911253012389
chr7	141265981	141268481	0.7535512877497058	11.058098000913928	2.7816508277194303	Col27a1	6.876387411735087
chr7	141443525	141446025	0.6648981950732699	10.35723263465882	2.770105475287718	Col28a1	6.821577840775424
chr9	34483894	34486394	0.2659592780293079	7.631645099222289	2.7694045493497352	Col4a6	6.81826441736656
chr17	36120965	36123465	0.9013064422104324	11.914711226336838	2.7639524035111176	Col5a1	6.792545872469865
chr7	45015863	45018363	9.958697410652976	71.02102378051762	2.716341782938696	Cpm	6.572042377089984
chr16	35768856	35771356	1.950368038881592	18.37824738180061	2.715471258159292	Cpxm1	6.568077991092394
chr3	89912696	89915196	1.1229391739015224	12.693450522175848	2.6893510865119605	Creb3l1	6.450232154796091
chr4	98817037	98819537	0.7387757723036332	10.045736916323216	2.667345867496782	Cryba1	6.352594217303345
chr1	132314126	132316626	3.516572676165294	27.255875354365315	2.645250555440053	Ctsd	6.256043549011459
chr5	30812641	30815141	5.200981437017577	0.0	-2.632496570703228	Cul9	0.16126479496138596
chr19	23447942	23450442	0.4137144324900346	7.70951902880619	2.623102322135848	Cyp4f14	6.1607343241631565
chr2	180587245	180589745	3.117633759121332	24.29666603017708	2.619059836700085	Cyp4f16	6.1434958789475145
chr3	54753582	54756082	0.8274288649800692	10.201484775491018	2.615802822969556	Dcc	6.129642028836614
chr9	58249286	58251786	0.6944492259654151	9.344871550068108	2.610027419349369	Dctn1	6.105152867105889
chr2	146219921	146222421	3.16196030545955	24.374539959760984	2.6080465558819044	Dcxr	6.096776061625415
chr14	54912632	54915132	1.1081636584554495	11.447467648833433	2.561793491799554	Ddit4l	5.904412401242651
chr14	31216446	31218946	1.0490615966711592	11.058098000913928	2.5569671010371087	Dgki	5.884692788397936
chr5	96371955	96374455	2.304980409587336	18.06675166346501	2.528345452386522	Diaph2	5.769096726913944
chr13	102691558	102694058	1.2411432974701038	11.758963367169036	2.509204316579352	Disp2	5.693060047330259
chr8	90347843	90350343	1.9060414925433733	15.49691198719628	2.505068788448304	Dlgap3	5.676764089406771
chr3	100488824	100491324	3.3688175217045675	23.751548523089777	2.5022040337139013	Dmd	5.665502942185726
chr9	86880154	86882654	1.6400822145140657	13.939433395518265	2.5004706701932995	Dner	5.658700063728137
chr9	14381007	14383507	3.679103346072093	25.3090271147678	2.491253901293978	Dnhd1	5.622664251870627
chr3	93553080	93555580	2.024245616111955	15.49691198719628	2.4475487766559905	Dse	5.454884980012013
chr11	99039244	99041744	2.068572162450173	15.49691198719628	2.4265565792194725	Dtna	5.3760873506797155
chr17	46545888	46548388	1.4775515446072665	12.304080874256345	2.4248818661614706	Dusp14	5.369850287560925
chrX	48208378	48210878	1.7287353071905016	13.004946240511453	2.359632083290427	Dusp8	5.132394557877035
chr11	4159793	4162293	1.8321639153130105	13.394315888430956	2.345522553398697	Dyrk3	5.082444490802043
chr7	45333280	45335780	0.8865309267643599	8.410384395061298	2.318517904213792	Edc4	4.98819513719889
chr2	29252505	29255005	3.959838139547474	23.67367459350588	2.314607643622385	Elfn1	4.9746935079936
chr11	77724783	77727283	1.0490615966711592	9.189123690900306	2.3139947199200974	Endod1	4.972580476571927
chr5	139905943	139908443	3.871185046871038	0.0	-2.284272789405491	Erbb2	0.20528885484289724
chr10	56375330	56377830	1.3297963901465395	10.201484775491018	2.2654141937507046	Erich3	4.807924341743214
chr1	153549545	153552045	1.448000513715121	10.590854423410525	2.243311153080374	Exoc6b	4.734825159746422
chr1	75544266	75546766	2.0981231933423183	13.627937677182658	2.2392599676477163	Fam120c	4.7215481000294695
chr1	21961442	21963942	1.6991842762983562	11.681089437585136	2.232083313656072	Fam227a	4.698119186947808
chr3	123235649	123238149	1.5662046372837024	10.824476212162226	2.204068152839639	Fgl2	4.607768234990914
chr2	113216596	113219096	1.1672657202397403	8.799754042980803	2.176869492861434	Fhod3	4.521713212857335
chr9	90161069	90163569	0.6353471641811246	6.385662225879874	2.1751303494499736	Fndc10	4.516265651506561
chr15	91671175	91673675	3.427919583488858	0.0	-2.146629021226212	Fndc5	0.2258396931436766
