chr	start	end	bg_mean	bm_mean	log2_fold_change
chr3	93553080	93555580	2.024245616111955	270.50843289546486	6.4882778840257505
chr2	130397074	130399574	1.9060414925433733	209.02924360104103	6.1753911045688215
chr9	4795734	4798234	0.6648981950732699	106.56392811033466	6.0136165743060905
chr10	77166048	77168548	1.3888984519308305	81.97225239256511	5.118211516911306
chr8	105965597	105968097	3.590450253395657	155.7472795458737	5.093660927045542
chr10	86498396	86500896	2.3493069559255537	98.36670287107816	4.890827988397102
chr7	128521616	128524116	2.556164172170571	90.16947763182162	4.680157075898066
chr10	34207215	34209715	1.1081636584554495	45.08473881591081	4.450230300282209
chrX	71048240	71050740	1.0342860812250865	36.8875135766543	4.2191279795102545
chr4	155837680	155840180	3.117633759121332	73.7750271533086	4.182669108236356
chr3	100488824	100491324	3.3688175217045675	77.87363977293685	4.174228466935164
chr8	54075606	54078106	1.4775515446072665	40.98612619628256	4.0829257080327395
chr6	148443889	148446389	3.191511336351695	65.57780191405209	3.989498803794065
chr15	98870704	98873204	5.673797931291903	102.4653154907064	3.95449540085565
chr2	29252505	29255005	3.959838139547474	73.7750271533086	3.9141915839708328
chr2	160366565	160369065	11.03731003821628	135.25421644773243	3.5007159393528844
chr7	45015863	45018363	9.958697410652976	0.0	-3.4540044195659725
chr9	27297204	27299704	7.993553856325311	0.0	-3.168891317937159
chr17	26939253	26941753	6.944492259654152	0.0	-2.9899550184553076
chr7	84086002	84088502	6.560328858056263	0.0	-2.918448989944784
chr5	136170213	136172713	5.93975720932121	0.0	-2.794885190320046
chr15	103501034	103503534	5.93975720932121	0.0	-2.794885190320046
chr11	120230947	120233447	5.792002054860484	0.0	-2.763836895365713
chr19	60753987	60756487	5.540818292277248	0.0	-2.7094711360843515
chr9	51076594	51079094	5.481716230492959	0.0	-2.6963758608559942
chr8	128356604	128359104	5.393063137816522	0.0	-2.6765073419514227
chr9	35419128	35421628	5.363512106924377	0.0	-2.6698232278902974
chr5	30812641	30815141	5.200981437017577	0.0	-2.632496570703228
chr4	59579563	59582063	5.186205921571505	0.0	-2.6290548575276382
chr5	23432441	23434941	4.875920097203979	0.0	-2.55481477776088
chr13	94055796	94058296	4.698613911851107	0.0	-2.5106110516150544
chrX	133688487	133690987	4.609960819174671	0.0	-2.4879906948661907
chr14	70888120	70890620	4.565634272836453	0.0	-2.4765461098731487
chr2	27884425	27886925	4.521307726498235	0.0	-2.46501001104127
chr12	79295804	79298304	4.32922602569929	0.0	-2.4139260226720363
chr13	55513176	55515676	4.181470871238564	0.0	-2.373361695869935
chr15	72809824	72812324	4.04849123222391	0.0	-2.3358522953864456
chr2	118777719	118780219	4.018940201331764	0.0	-2.327382757064535
chr10	117627500	117630000	3.915511593209256	0.0	-2.297341576194806
chr15	32242810	32245310	3.8859605623171114	0.0	-2.2886422187465625
chr5	139905943	139908443	3.871185046871038	0.0	-2.284272789405491
chr7	80404936	80407436	1.7435108226365743	12.295837858884768	2.276879521745243
chr7	110625661	110628161	3.812082985086747	0.0	-2.2666615222190596
chr5	121218219	121220719	3.812082985086747	0.0	-2.2666615222190596
chr16	74411325	74413825	3.782531954194602	0.0	-2.257774607882225
chr1	72822503	72825003	3.708654376964239	0.0	-2.2353148303164923
chr9	14381007	14383507	3.679103346072093	0.0	-2.2262320934597457
chr4	115826092	115828592	3.649552315179948	0.0	-2.2170918121856404
chr1	131137840	131140340	3.6200012842878015	0.0	-2.207893252687953
chr1	132314126	132316626	3.516572676165294	0.0	-2.175228423374622
chr3	90389438	90391938	3.4574706143810032	0.0	-2.1562252869974285
chr17	45553703	45556203	3.4426950989349305	0.0	-2.151435132941751
chr15	91671175	91673675	3.427919583488858	0.0	-2.1466290212262122
chr9	75683556	75686056	3.427919583488858	0.0	-2.1466290212262122
chr8	122550829	122553329	3.38359303715064	0.0	-2.132113867975139
chr7	74554280	74556780	3.38359303715064	0.0	-2.132113867975139
chr9	37432746	37435246	3.3097154599202767	0.0	-2.107592621492329
chr7	126200001	126202501	3.294939944474204	0.0	-2.1026379585080948
chr18	79108891	79111391	3.2801644290281318	0.0	-2.0976662210158623
chr10	60752294	60754794	3.2801644290281318	0.0	-2.0976662210158623
chr16	97462407	97464907	3.250613398135986	0.0	-2.0876710489193546
chr8	117156135	117158635	3.206286851797768	0.0	-2.0725472394074695
chr6	37299684	37302184	3.191511336351695	0.0	-2.067470531351521
chr2	146219921	146222421	3.16196030545955	0.0	-2.0572632054889737
chr9	59537540	59540040	3.117633759121332	0.0	-2.0418155158864604
chr2	180587245	180589745	3.117633759121332	0.0	-2.0418155158864604
chr2	129590835	129593335	3.1028582436752594	0.0	-2.036629309073326
chr2	181362928	181365428	3.1028582436752594	0.0	-2.036629309073326
chr2	27027498	27029998	3.073307212783114	0.0	-2.0262006279049043
chr4	155692342	155694842	3.0142051509988232	0.0	-2.0051143493277195
chr10	58811359	58813859	3.0142051509988232	0.0	-2.0051143493277195
chr18	24706623	24709123	3.0142051509988232	0.0	-2.0051143493277195
chr12	111907610	111910110	2.955103089214533	0.0	-1.9837152988346776
chr13	74007407	74009907	2.9255520583223875	0.0	-1.9728955573923033
chr2	165234353	165236853	2.8664499965380967	0.0	-1.9510095552918958
chr17	32534558	32537058	2.851674481092024	0.0	-1.9454857809699173
chr11	78463697	78466197	2.807347934753806	0.0	-1.9287864167105704
chr7	134937930	134940430	2.7925724193077333	0.0	-1.9231767290493977
chr3	54915387	54917887	2.748245872969516	0.0	-1.9062155922925412
chr8	105878881	105881381	2.689143811185225	0.0	-1.8832860296507201
chrX	129747742	129750242	2.6152662339548614	0.0	-1.8541018934456563
chr16	5145109	5147609	2.6152662339548614	0.0	-1.8541018934456563
chr3	84039675	84042175	2.6004907185087887	0.0	-1.8481935479195108
