chr	start	end	gene	raw_count	count
chr1	21961442	21963942	Kcnq5	4	6.207681074177133
chr1	44549511	44552011	Gulp1	7	10.863441879809983
chr1	72822503	72825003	Igfbp2	0	0.0
chr1	75544266	75546766	Slc4a3	0	0.0
chr1	84695721	84698221	Dner	10	15.519202685442833
chr1	89930679	89933179	Gbx2	0	0.0
chr1	119421748	119424248	Inhbb	15	23.27880402816425
chr1	131137840	131140340	Dyrk3	31	48.109528324872784
chr1	132314126	132316626	Nuak2	0	0.0
chr1	153549545	153552045	Npl	5	7.7596013427214166
chr1	158360273	158362773	Astn1	5	7.7596013427214166
chr10	10557733	10560233	Rab32	30	46.5576080563285
chr10	14544679	14547179	Adgrg6	5	7.7596013427214166
chr10	28072820	28075320	Ptprk	0	0.0
chr10	34207051	34209551	Dse	2	3.1038405370885664
chr10	58811359	58813859	Sh3rf3	2	3.1038405370885664
chr10	60752294	60754794	Slc29a3	0	0.0
chr10	77166048	77168548	Col18a1	0	0.0
chr10	110455704	110458204	Nav3	0	0.0
chr10	117627500	117630000	Cpm	0	0.0
chr11	4159793	4162293	Ccdc157	0	0.0
chr11	7213423	7215923	Igfbp3	20	31.038405370885666
chr11	32221800	32224300	Rhbdf1	0	0.0
chr11	64433332	64435832	Hs3st3a1	6	9.3115216112657
chr11	78463697	78466197	Slc46a1	0	0.0
chr11	84878148	84880648	Myo19	4	6.207681074177133
chr11	97797000	97799500	Lasp1	8	12.415362148354266
chr11	98410470	98412970	Erbb2	0	0.0
chr11	99039244	99041744	Igfbp4	0	0.0
chr11	102088015	102090515	Mpp2	2	3.1038405370885664
chr11	114763388	114765888	Kif19a	41	63.62873101031561
chr11	120230947	120233447	Bahcc1	8	12.415362148354266
chr11	120726781	120729281	Dcxr	30	46.5576080563285
chr12	79007127	79009627	Tmem229b	0	0.0
chr12	111907555	111910055	Ppp1r13b	0	0.0
chr12	112720174	112722674	Cep170b	2	3.1038405370885664
chr13	12106445	12108945	Ryr2	9	13.967282416898549
chr13	55513176	55515676	Pdlim7	0	0.0
chr13	74007407	74009907	Tppp	43	66.73257154740418
chr13	74807421	74809921	Cast	0	0.0
chr13	76382535	76385035	Mctp1	27	41.901847250695646
chr13	94055796	94058296	Lhfpl2	22	34.142245907974235
chr14	24004359	24006859	Kcnma1	0	0.0
chr14	54577161	54579661	Ajuba	0	0.0
chr14	54912632	54915132	Slc22a17	0	0.0
chr14	63543453	63545953	Mtmr9	20	31.038405370885666
chr14	70888130	70890630	Gfra2	37	57.42104993613848
chr14	77034772	77037272	Ccdc122	0	0.0
chr15	32242813	32245313	Sema5a	9	13.967282416898549
chr15	39196332	39198832	Rims2	2	3.1038405370885664
chr15	64921796	64924296	Adcy8	35	54.317209399049915
chr15	72809824	72812324	Peg13	51	79.14793369575845
chr15	79106972	79109472	Micall1	39	60.524890473227046
chr15	79658456	79660956	Fam227a	0	0.0
chr15	98870704	98873204	Kmt2d	8	12.415362148354266
chr15	103501298	103503798	Pde1b	32	49.66144859341706
chr15	103537492	103539992	Ppp1r1a	0	0.0
chr16	4637941	4640441	Vasn	2	3.1038405370885664
chr16	35936470	35938970	Parp9	0	0.0
chr16	90384397	90386897	Hunk	9	13.967282416898549
chr17	26939253	26941753	Syngap1	21	32.59032563942995
chr17	45553716	45556216	Nfkbie	0	0.0
chr17	46545888	46548388	Cul9	0	0.0
chr17	83631395	83633895	Kcng3	0	0.0
chr18	9210856	9213356	Fzd8	22	34.142245907974235
chr18	24707445	24709945	Fhod3	0	0.0
chr18	79108891	79111391	Setbp1	6	9.3115216112657
chr19	4876668	4879168	Zdhhc24	4	6.207681074177133
chr19	5118060	5120560	Klc2	0	0.0
chr19	31764533	31767033	Prkg1	0	0.0
chr19	60753987	60756487	Nanos1	0	0.0
chr2	24762652	24765152	Cacna1b	5	7.7596013427214166
chr2	27027498	27029998	Slc2a6	0	0.0
chr2	27884425	27886925	Col5a1	14	21.726883759619966
chr2	29252505	29255005	Ntng2	2	3.1038405370885664
chr2	69585565	69588065	Lrp2	18	27.934564833797097
chr2	71979240	71981740	Rapgef4	0	0.0
chr2	91455511	91458011	Lrp4	47	72.94025262158131
chr2	92024002	92026502	Creb3l1	0	0.0
chr2	104711669	104714169	Tcp11l1	25	38.79800671360708
chr2	113216596	113219096	Ryr3	34	52.76528913050563
chr2	121270907	121273407	Trp53bp1	10	15.519202685442833
chr2	129590835	129593335	Sirpa	0	0.0
chr2	130397074	130399574	Cpxm1	21	32.59032563942995
chr2	146219921	146222421	Insm1	0	0.0
chr2	152103516	152106016	Srxn1	0	0.0
chr2	160366565	160369065	Mafb	19	29.486485102341383
chr2	165234353	165236853	Cdh22	0	0.0
chr2	168281236	168283736	Kcng1	0	0.0
chr2	180587245	180589745	Ogfr	0	0.0
chr2	181362928	181365428	Zgpat	0	0.0
chr3	25143761	25146261	Naaladl2	0	0.0
chr3	32815546	32818046	Usp13	6	9.3115216112657
chr3	54753582	54756082	Smad9	0	0.0
chr3	54915387	54917887	Sertm1	0	0.0
chr3	89912696	89915196	Il6ra	0	0.0
chr3	90389438	90391938	Slc27a3	31	48.109528324872784
chr3	93553080	93555580	S100a10	2	3.1038405370885664
chr3	105452455	105454955	Kcnd3os	0	0.0
chr3	108086151	108088651	Ampd2	0	0.0
chr3	124318855	124321355	Tram1l1	0	0.0
chr4	43056953	43059453	Unc13b	7	10.863441879809983
chr4	46649709	46652209	Tbc1d2	0	0.0
chr4	59579563	59582063	Hsdl2	7	10.863441879809983
chr4	63212004	63214504	Col27a1	2	3.1038405370885664
chr4	98817037	98819537	Kank4	15	23.27880402816425
chr4	115826092	115828592	Mob3c	28	43.45376751923993
chr4	124861671	124864171	Maneal	0	0.0
chr4	127167204	127169704	Dlgap3	3	4.65576080563285
chr5	3802425	3804925	Ankib1	0	0.0
chr5	22344202	22346702	Reln	6	9.3115216112657
chr5	23432441	23434941	Kmt2e	3	4.65576080563285
chr5	30812641	30815141	Mapre3	0	0.0
chr5	88884818	88887318	Slc4a4	5	7.7596013427214166
chr5	96371955	96374455	Fras1	0	0.0
chr5	120503125	120505625	Plbd2	0	0.0
chr5	132542844	132545344	Auts2	7	10.863441879809983
chr5	136170213	136172713	Orai2	42	65.1806512788599
chr5	138996870	138999370	Pdgfa	0	0.0
chr5	139905943	139908443	Elfn1	0	0.0
chr6	37299684	37302184	Dgki	0	0.0
chr6	38636742	38639242	Klrg2	0	0.0
chr6	55449978	55452478	Adcyap1r1	0	0.0
chr6	56568603	56571103	Pde1c	0	0.0
chr6	83163920	83166420	Dctn1	4	6.207681074177133
chr6	85069013	85071513	Exoc6b	37	57.42104993613848
chr6	116673452	116675952	Rassf4	14	21.726883759619966
chr6	121243906	121246406	Usp18	0	0.0
chr6	148443889	148446389	Tmtc1	11	17.071122953987118
chr7	31126445	31128945	Scn1b	2	3.1038405370885664
chr7	45015863	45018363	Scaf1	47	72.94025262158131
chr7	45333280	45335780	Trpm4	4	6.207681074177133
chr7	74554280	74556780	Slco3a1	3	4.65576080563285
chr7	84086002	84088502	Cemip	43	66.73257154740418
chr7	89630392	89632892	Me3	5	7.7596013427214166
chr7	97079586	97082086	Gab2	0	0.0
chr7	99827917	99830417	Neu3	31	48.109528324872784
chr7	126200001	126202501	Xpo6	1	1.5519202685442832
chr7	126270619	126273119	Sbk1	28	43.45376751923993
chr7	128521616	128524116	Bag3	19	29.486485102341383
chr7	142095343	142097843	Dusp8	36	55.869129667594194
chr7	142387538	142390038	Ctsd	8	12.415362148354266
chr8	54075606	54078106	Vegfc	2	3.1038405370885664
chr8	90347843	90350343	Tox3	12	18.6230432225314
chr8	105878881	105881381	Edc4	0	0.0
chr8	105965615	105968115	Slc12a4	2	3.1038405370885664
chr8	117156135	117158635	Gan	31	48.109528324872784
chr8	122550829	122553329	Piezo1	2	3.1038405370885664
chr8	128357073	128359573	Nrp1	16	24.83072429670853
chr9	3530354	3532854	Gucy1a2	0	0.0
chr9	14380742	14383242	Endod1	2	3.1038405370885664
chr9	27297228	27299728	Igsf9b	5	7.7596013427214166
chr9	34483894	34486394	Kirrel3	0	0.0
chr9	35419128	35421628	Cdon	8	12.415362148354266
chr9	37255238	37257738	Slc37a2	0	0.0
chr9	37432663	37435163	Robo3	4	6.207681074177133
chr9	51763337	51765837	Arhgap20	0	0.0
chr9	59537667	59540167	Hexa	0	0.0
chr9	75683496	75685996	Scg3	2	3.1038405370885664
chr9	86880154	86882654	Snap91	18	27.934564833797097
chr9	90161069	90163569	Adamts7	14	21.726883759619966
chr9	108824320	108826820	Celsr3	68	105.53057826101126
chrX	71048256	71050756	Mamld1	0	0.0
chrX	129747742	129750242	Diaph2	18	27.934564833797097
chrX	133688487	133690987	Pcdh19	0	0.0
chrX	151342175	151344675	Fam120c	0	0.0
