chr	start	end	bg_mean	bm_mean	log2_fold_change	gene	fold_change
chr3	93553080	93555580	2.024245616111955	270.50843289546486	6.488277884025751	Aass	89.77724277716666
chr2	130397074	130399574	1.9060414925433733	209.02924360104103	6.1753911045688215	Abcc12	72.27331204318868
chr9	4795734	4798234	0.6648981950732699	106.56392811033466	6.0136165743060905	Adamts7	64.6069101574111
chr10	77166048	77168548	1.3888984519308305	81.97225239256511	5.118211516911306	Adcy8	34.73243173040807
chr8	105965597	105968097	3.590450253395657	155.7472795458737	5.093660927045542	Adcyap1r1	34.14638453601024
chr10	86498396	86500896	2.3493069559255537	98.36670287107816	4.890827988397102	Adgrg6	29.667839997549287
chr7	128521616	128524116	2.556164172170571	90.16947763182162	4.680157075898066	Adm	25.637027206248074
chr10	34207215	34209715	1.1081636584554495	45.08473881591081	4.450230300282209	Ajuba	21.86013340618673
chrX	71048240	71050740	1.0342860812250865	36.8875135766543	4.219127979510255	Aldh1l1	18.62447662908735
chr4	155837680	155840180	3.117633759121332	73.7750271533086	4.182669108236356	Ampd2	18.159708106061608
chr3	100488824	100491324	3.3688175217045675	77.87363977293685	4.174228466935164	Ankib1	18.0537729903086
chr8	54075606	54078106	1.4775515446072665	40.98612619628256	4.08292570803274	Arhgap20	16.946620661705786
chr6	148443889	148446389	3.191511336351695	65.57780191405209	3.989498803794065	Arhgap6	15.883960836904626
chr15	98870704	98873204	5.673797931291903	102.4653154907064	3.95449540085565	Arhgef18	15.503213695695123
chr2	29252505	29255005	3.959838139547474	73.7750271533086	3.9141915839708328	Astn1	15.076102293961338
chr2	160366565	160369065	11.03731003821628	135.25421644773243	3.5007159393528844	Auts2	11.31932433534984
chr7	80404936	80407436	1.7435108226365743	12.295837858884768	2.276879521745243	Cyp4f14	4.846285915543491
chr19	4876668	4879168	5.688573446737975	20.49306309814128	1.6841006563569128	Irf7	3.2134001770771423
chr6	56651987	56654487	1.0490615966711592	0.0	-1.034963353737309	Sdc4	0.4880282767607223
chr14	31216446	31218946	1.0490615966711592	0.0	-1.034963353737309	Scn1b	0.4880282767607223
chr11	77724783	77727283	1.0490615966711592	0.0	-1.034963353737309	Sec14l5	0.4880282767607223
chr2	148443063	148445563	1.063837112117232	0.0	-1.0453291108706584	Scaf1	0.4845343627793029
chr1	84695721	84698221	1.063837112117232	0.0	-1.0453291108706584	Sbk1	0.4845343627793029
chr5	105293198	105295698	1.063837112117232	0.0	-1.0453291108706584	Scg3	0.4845343627793029
chr10	28072820	28075320	1.0786126275633043	0.0	-1.055620921079852	S100a10	0.4810901207563
chr7	89630392	89632892	1.0786126275633043	0.0	-1.055620921079852	Samd9l	0.4810901207563
chr17	43566098	43568598	1.093388143009377	0.0	-1.06583983193682	Ryr3	0.4776944989104777
chr14	54912632	54915132	1.1081636584554495	0.0	-1.0759868689092658	Ryr2	0.4743464749471358
chr3	89912696	89915196	1.1229391739015224	0.0	-1.086063035978209	Rims2	0.4710450550319853
chr8	95674980	95677480	1.1229391739015224	0.0	-1.086063035978209	Robo2	0.4710450550319853
chr1	84363680	84366180	1.1229391739015224	0.0	-1.086063035978209	Robo3	0.4710450550319853
chr7	126246862	126249362	1.1377146893475951	0.0	-1.0960693162341042	Rhbdf1	0.4677892728075831
chr11	32221800	32224300	1.1377146893475951	0.0	-1.0960693162341042	Reln	0.4677892728075831
