chr	start	end	bg_mean	bm_mean	mean_intensity	log2_fold_change	coefficient_of_variation
chr15	99053174	99055674	3.338595039563759	166.725947003379	85.03227102147137	5.272734146517029	0.9607373177329259
chr2	180497976	180500476	2.192209995858131	122.2656944691446	62.22895223250137	5.271071974579416	0.9647718639441728
chr7	19309551	19312051	4.464868064958762	177.84101013693757	91.15293910094816	5.032347123284595	0.9510178376144942
chr12	30909668	30912168	2.4536662338962567	77.80544193491019	40.129554084403225	4.512094687807121	0.9388563792975237
chr11	69836514	69839014	11.34317832719253	255.64645207184776	133.49481519952013	4.377996480011365	0.9150290720262123
chr10	59951270	59953770	16.652751161197546	0.0	8.326375580598773	-4.141821138288152	1.0
chr15	75747422	75749922	14.76222143999879	0.0	7.381110719999395	-3.978398969441909	1.0
chr10	127288774	127291274	14.15886089068004	0.0	7.07943044534002	-3.9220894414628984	1.0
chr4	72199348	72201848	18.382384735911295	266.76151520540634	142.5719499706588	3.7881306294919916	0.8710659092500708
chr5	34658379	34660879	12.067210986375033	0.0	6.033605493187516	-3.7078793457761767	1.0
chr15	99723618	99726118	11.906314839890031	0.0	5.953157419945016	-3.690005219377049	1.0
chr2	29252505	29255005	3.559827240980635	55.57531566779299	29.567571454386815	3.633121658296186	0.8796036648977987
chr2	29252506	29255006	3.559827240980635	55.57531566779299	29.567571454386815	3.633121658296186	0.8796036648977987
chrX	106185100	106187600	9.774440898963777	0.0	4.887220449481888	-3.429541102649988	1.0
chr8	57509907	57512407	9.774440898963777	0.0	4.887220449481888	-3.429541102649988	1.0
chr11	101440298	101442798	9.693992825721276	0.0	4.846996412860638	-3.4187287088760665	1.0
chr1	91413538	91416038	8.94984814822815	0.0	4.474924074114075	-3.3146745078201127	1.0
chr13	34129854	34132354	8.849288056675023	0.0	4.424644028337512	-3.3000194449522247	1.0
chr5	110839277	110841777	8.004583287628773	0.0	4.002291643814386	-3.1706595129131077	1.0
chr8	70510301	70512801	2.855906600108758	33.34518940067579	18.100548000392276	3.154966029066456	0.8422198819589956
chr13	51844678	51847178	7.260438610135645	0.0	3.6302193050678224	-3.0462183874398403	1.0
chr8	57487360	57489860	6.817974207301893	0.0	3.4089871036509467	-2.966794824962452	1.0
chr10	75515551	75518051	6.757638152370018	0.0	3.378819076185009	-2.955617484304993	1.0
chr7	127260209	127262709	6.395621822778767	0.0	3.1978109113893836	-2.8866714540077965	1.0
chrX	155215949	155218449	6.1945016396725165	0.0	3.0972508198362583	-2.8468947555028543	1.0
chr4	119320046	119322546	1.488289354986254	16.672594700337896	9.080442027662075	2.828287706143214	0.8360994596460806
chr7	45123939	45126439	5.993381456566266	0.0	2.996690728283133	-2.8059901996663195	1.0
