chr	start	end	bg_mean	bm_mean	mean_intensity	log2_fold_change	coefficient_of_variation	gene	fold_change
chr5	135743948	135746448	4.826884394550013	0.0	2.4134421972750064	-8.917934246391969	1.0	Tmem120a	0.00206744655945624
chr2	119349229	119351729	4.625764211443762	0.0	2.312882105721881	-8.856663378286564	1.0	Chac1	0.0021571416370388687
chr5	30907288	30909788	4.545316138201263	0.0	2.2726580691006317	-8.831407370078342	1.0	Ost4	0.002195237321980613
chr16	36071015	36073515	4.545316138201263	0.0	2.2726580691006317	-8.831407370078342	1.0	Fam162a	0.002195237321980613
chr7	19309551	19312051	4.464868064958762	0.0	2.232434032479381	-8.80570133699281	1.0	Fosb	0.002234702756558737
chr15	85581321	85583821	4.424644028337512	0.0	2.212322014168756	-8.792674492911335	1.0	Wnt7b	0.0022549724253174974
chr9	20640878	20643378	4.384419991716262	0.0	2.192209995858131	-8.7795289500708	1.0	Ubl5	0.002275613168256694
chr15	66969140	66971640	4.122963753678136	0.0	2.061481876839068	-8.691032901026954	1.0	Ndrg1	0.0024195711832944297
chr18	31787159	31789659	4.002291643814386	0.0	2.001145821907193	-8.648282665563448	1.0	Polr2d	0.002492341257250496
chr8	27258329	27260829	3.901731552261261	0.0	1.9508657761306305	-8.611663556611346	1.0	Eif4ebp1	0.002556412643965632
chr7	100535071	100537571	3.8816195339506354	0.0	1.9408097669753177	-8.604226861015709	1.0	Coa4	0.0025696242689604207
chr6	85185438	85187938	3.82128347901876	0.0	1.91064173950938	-8.581683965378355	1.0	Emx1	0.00261009138445718
chr9	107549555	107552055	3.74083540577626	0.0	1.87041770288813	-8.551068145794536	1.0	Rassf1	0.0026660727326504583
chr4	135961727	135964227	3.70061136915501	0.0	1.850305684577505	-8.535513098071558	1.0	Gale	0.00269497368631122
chr7	109174707	109177207	3.66038733253376	0.0	1.83019366626688	-8.51978850713194	1.0	Lmo1	0.0027245080951978848
chr7	45713457	45715957	3.640275314223135	0.0	1.8201376571115675	-8.511861470064709	1.0	Rpl18	0.0027395193894102867
chrX	99134130	99136630	3.62016329591251	0.0	1.810081647956255	-8.503890636316521	1.0	Efnb1	0.0027546970163187428
chr3	8923418	8925918	3.3587070578743843	0.0	1.679353528937192	-8.396051167202307	1.0	Mrps28	0.0029684979513504755
chr15	99053174	99055674	3.338595039563759	0.0	1.6692975197818796	-8.387412104864225	1.0	Prph	0.002986327066082842
chr7	129255031	129257531	3.238034948010634	0.0	1.619017474005317	-8.343423345404458	1.0	Plpp4	0.0030787846067126916
