chr	start	end	gene	raw_count	count
chr1	39365842	39368342	Rpl31	582	3.4206133187891834
chr1	87156021	87158521	Ecel1	187	1.0990630422913699
chr1	91413538	91416038	Hes6	2100	12.342419191507362
chr1	104766529	104769029	Cdh20	1011	5.941993239339973
chr1	134403559	134406059	Cyb5r1	183	1.0755536724027845
chr10	29535367	29537867	Rspo3	134	0.7875638912676126
chr10	31445421	31447921	Tpd52l1	444	2.609540057632985
chr10	59951270	59953770	Ddit4	2264	13.306303356939367
chr10	75515551	75518051	Snrpd3	1270	7.464224939625881
chr10	75559830	75562330	Lrrc75b	766	4.502044333664114
chr10	78778496	78780996	Slc1a6	603	3.544037510704257
chr10	80290453	80292953	Rps15	785	4.613713840634895
chr10	80854709	80857209	Lsm7	1432	8.416354420113592
chr10	81266434	81268934	Mrpl54	1245	7.317291377822222
chr10	110918177	110920677	Csrp2	650	3.820272606895136
chr10	127288774	127291274	Ddit3	1662	9.768143188707255
chr10	128192457	128194957	Gls2	511	3.0033220032667916
chr10	128673418	128675918	Suox	646	3.7967632370065507
chr10	128891218	128893718	Gdf11	681	4.002470223531673
chr11	31369574	31372074	Stc2	917	5.389523046958215
chr11	32203415	32205915	Snrnp25	843	4.954599704019384
chr11	51617735	51620235	Nhp2	810	4.760647402438554
chr11	69836514	69839014	Tmem256	1456	8.557410639445104
chr11	78174711	78177211	Tlcd1	623	3.661584360147184
chr11	94473698	94476198	Cacna1g	435	2.556643975383668
chr11	98329148	98331648	Neurod2	456	2.6800681672987414
chr11	101440298	101442798	Rpl27	894	5.2543441700988485
chr11	115187359	115189859	Nat9	625	3.6733390450914767
chr11	116012219	116014719	Galk1	961	5.648126115732655
chr12	4841095	4843595	Fkbp1b	690	4.05536630578099
chr12	11150342	11152842	Kcns3	62	0.3643952332730745
chr12	30909668	30912168	Sh3yl1	507	2.9798126333782062
chr12	81594508	81597008	Med6	305	1.7925894540046408
chr13	34129854	34132354	Tubb2b	2802	16.46831360695411
chr13	51844678	51847178	Gadd45g	937	5.507069896401142
chr13	54787377	54789877	Tspan17	1152	6.77069852791261
chr13	55725368	55727868	Pcbd2	470	2.7623509619087905
chr13	73328042	73330542	Ndufs6	1120	6.5826235688039265
chr14	24488681	24491181	Rps24	611	3.5910562504814276
chr14	122983535	122986035	Tmtc4	321	1.8866269335589825
chr15	66969140	66971640	Ndrg1	791	4.648977895467773
chr15	75747422	75749922	Mafa	1227	7.211499213323587
chr15	79345541	79348041	Maff	1282	7.534753049291638
chr15	83724521	83727021	Scube1	600	3.5264054832878178
chr15	85581321	85583821	Wnt7b	1021	6.0007666640614366
chr15	99053174	99055674	Prph	1461	8.586797351805837
chr15	99723618	99726118	Cox14	3073	18.061073416905774
chr15	103537492	103539992	Ppp1r1a	738	4.337478744444016
chr16	23890344	23892844	Sst	344	2.021805810418349
chr16	33054453	33056953	Rpl35a	490	2.879897811351718
chr16	36071015	36073515	Fam162a	732	4.302214689611138
chr17	23676949	23679449	Tnfrsf12a	708	4.161158470279625
chr17	24533710	24536210	Rab26	1069	6.282879102724462
chr17	24893116	24895616	Mrps34	1076	6.324020500029486
chr17	25715171	25717671	Gng13	783	4.6019591556906025
chr17	26508019	26510519	Dusp1	1494	8.780749653386666
chr17	33522204	33524704	Adamts10	369	2.168739372222008
chr17	45684322	45686822	Mrpl14	1050	6.171209595753681
chr17	46031877	46034377	Vegfa	920	5.407155074374654
chr18	9210856	9213356	Fzd8	739	4.343356086916162
chr18	31787159	31789659	Polr2d	357	2.0982112625562515
chr18	33792892	33795392	Epb41l4aos	493	2.897529838768157
chr18	35962830	35965330	Psd2	1166	6.852981322522659
chr18	37969274	37971774	Fchsd1	490	2.879897811351718
chr18	60772510	60775010	Rps14	810	4.760647402438554
chr18	61013699	61016199	Slc6a7	292	1.716184001866738
chr18	67341564	67344064	Cidea	896	5.266098855043142
chr2	25271938	25274438	Ssna1	489	2.8740204688795714
chr2	29252505	29255005	Ntng2	947	5.565843321122606
chr2	29252506	29255006	6530402F18Rik	947	5.565843321122606
chr2	39005124	39007624	Rpl35	653	3.8379046343115752
chr2	119349229	119351729	Chac1	661	3.884923374088746
chr2	148393344	148395844	Sstr4	284	1.6691652620895672
chr2	148407688	148410188	Thbd	733	4.308092032083284
chr2	152413587	152416087	6820408C15Rik	732	4.302214689611138
chr2	155234533	155237033	Dynlrb1	181	1.0637989874584917
chr2	180497976	180500476	Ntsr1	369	2.168739372222008
chr3	8923418	8925918	Mrps28	917	5.389523046958215
chr3	18052174	18054674	Bhlhe22	232	1.3635434535379563
chr3	89394276	89396776	Zbtb7b	451	2.6506814549380096
chr3	94785992	94788492	Cgn	549	3.2266610172083534
chr3	102467919	102470419	Ngf	203	1.1931005218457118
chr3	145648312	145650812	Gm17501	919	5.401277731902508
chr4	72199348	72201848	C630043F03Rik	965	5.67163548562124
chr4	111413006	111415506	Bend5	347	2.039437837834788
chr4	117017402	117019902	Eif2b3	334	1.9630323856968852
chr4	119193306	119195806	Svbp	153	0.8992333982383935
chr4	119320046	119322546	Ppih	867	5.095655923350897
chr4	122993652	122996152	Mycl	591	3.4735094010385006
chr4	135961727	135964227	Gale	1038	6.100681486087925
chr4	155774198	155776698	Vwa1	1486	8.733730913609495
chr5	28466756	28469256	Shh	412	2.4214650985243016
chr5	30907288	30909788	Ost4	1615	9.491908092516375
chr5	34658379	34660879	Grk4	864	5.078023895934457
chr5	110839277	110841777	Hscb	1261	7.411328857376564
chr5	121545405	121547905	Mapkapk5	524	3.079727455404694
chr5	122987354	122989854	A930024E05Rik	847	4.978109073907969
chr5	135743948	135746448	Tmem120a	753	4.425638881526211
chr5	140319656	140322156	Nudt1	810	4.760647402438554
chr6	41603482	41605982	Ephb6	163	0.9580068229598572
chr6	72958248	72960748	Tmsb10	621	3.6498296752028914
chr6	82773954	82776454	Hk2	561	3.29718912687411
chr6	85185438	85187938	Emx1	629	3.6968484149800624
chr6	87728869	87731369	Efcc1	525	3.0856047978768406
chr6	89641988	89644488	Txnrd3	673	3.9554514837545023
chr6	91210455	91212955	Fbln2	1497	8.798381680803105
chr7	16450779	16453279	Tmem160	745	4.378620141749041
chr7	19147722	19150222	Snrpd2	329	1.9336456733361533
chr7	19309551	19312051	Fosb	524	3.079727455404694
chr7	19506395	19508895	Trappc6a	610	3.5851789080092815
chr7	25297486	25299986	Pafah1b3	373	2.1922487421105936
chr7	31050967	31053467	Fxyd7	374	2.1981260845827397
chr7	45123939	45126439	Rps11	934	5.489437868984703
chr7	45713457	45715957	Rpl18	835	4.9075809642422135
chr7	99483238	99485738	Rps3	766	4.502044333664114
chr7	100535071	100537571	Coa4	522	3.0679727704604014
chr7	109174707	109177207	Lmo1	588	3.4558773736220614
chr7	119184103	119186603	Gpr139	113	0.664139699352539
chr7	126693401	126695901	Bola2	862	5.066269210990165
chr7	127260209	127262709	Dctpp1	816	4.7959114572714325
chr7	129255031	129257531	Plpp4	500	2.9386712360731817
chr7	138909019	138911519	Bnip3	591	3.4735094010385006
chr7	142530686	142533186	Mrpl23	892	5.242589485154556
chr8	27258329	27260829	Eif4ebp1	731	4.296337347138992
chr8	57487360	57489860	Sap30	1041	6.118313513504364
chr8	57509907	57512407	Hmgb2	1624	9.544804174765694
chr8	70510301	70512801	Uba52	616	3.6204429628421595
chr8	70872990	70875490	Ccdc124	591	3.4735094010385006
chr8	72132975	72135475	Tpm4	964	5.665758143149094
chr8	84249219	84251719	D8Ertd738e	539	3.1678875924868897
chr9	20640878	20643378	Ubl5	791	4.648977895467773
chr9	35569898	35572398	Hyls1	572	3.3618398940677197
chr9	53769535	53772035	Slc35f2	110	0.6465076719360999
chr9	106427454	106429954	Rpl29	507	2.9798126333782062
chr9	107549555	107552055	Rassf1	1122	6.59437825374822
chr9	121838961	121841461	Ccdc13	510	2.997444660794645
chrX	36326353	36328853	Lonrf3	247	1.4517035906201516
chrX	99134130	99136630	Efnb1	600	3.5264054832878178
chrX	106185100	106187600	Pgk1	467	2.7447189344923517
chrX	109012904	109015404	Hmgn5	254	1.4928449879251762
chrX	136031367	136033867	Arxes1	206	1.2107325492621508
chrX	155215949	155218449	Sat1	434	2.5507666329115217
