chr	start	end	bg_mean	bm_mean	log2_fold_change
chr10	77166048	77168548	1.3888984519308305	58.01607754000617	4.626690602634074
chr2	71979240	71981740	0.3250613398135986	19.312734536807422	3.938253419252096
chr11	118401592	118404092	0.2955103089214532	17.677382015545504	3.8496998477141013
chr9	4795734	4798234	0.6648981950732699	22.583439579331262	3.824268279316191
chr14	77034772	77037272	0.3989389170439619	18.222499522632813	3.7803910680461996
chr15	79106898	79109398	1.2411432974701038	28.034614650204325	3.6954670845625834
chr9	88546020	88548520	0.4432654633821799	16.509273071786993	3.6007106011854635
chr18	23413135	23415635	0.4137144324900346	14.017307325102164	3.4090635207785294
chr9	108824320	108826820	0.9456329885486504	19.234860607223524	3.3785314103229642
chrX	151342175	151344675	1.669633245406211	26.71075784727801	3.3757327038951015
chr5	23432441	23434941	4.875920097203979	59.49568220210029	3.3639454927713195
chr5	22344202	22346702	0.5910206178429065	15.341164128028478	3.360486326669735
chr7	142095343	142097843	1.6991842762983562	26.555009988110207	3.3517192704499283
chr5	132542844	132545344	1.8026128844208649	27.333749283949217	3.3376771314313665
chr11	64433332	64435832	1.5514291218376297	23.128557086418567	3.2413641737950067
chr9	37255238	37257738	0.9899595348868684	17.3658862972099	3.206217519539884
chr7	140955487	140957987	1.536653606391557	21.33745670598885	3.138466502821434
chr11	97797000	97799500	1.2559188129161765	18.06675166346501	3.0792720242356157
chr8	54075606	54078106	1.4775515446072665	19.546356325559127	3.0518955925918965
chr7	105648827	105651327	1.492327060053339	19.62423025514303	3.048774969464324
chr15	79658456	79660956	2.393633502263772	26.399262128942407	3.013234367878463
chr1	44549511	44552011	1.3741229364847578	18.06675166346501	3.0055925301717816
chr11	102088015	102090515	2.452735564048062	26.243514269774604	2.980101064102241
chr11	120726781	120729281	1.5957556681758476	18.84549095930402	2.934584756079621
chr16	5145109	5147609	2.6152662339548614	26.63288391769411	2.9342123389318124
chr10	58811359	58813859	3.0142051509988232	29.436345382714546	2.922608884467899
chr7	84086002	84088502	6.560328858056263	0.0	-2.918448989944784
chr7	16127826	16130326	1.8026128844208649	19.390608466391324	2.863060438183749
chr10	14545159	14547659	1.2411432974701038	15.263290198444578	2.859312354070981
chr3	154661859	154664359	2.1720007705726814	21.80470028349225	2.8458661827101124
chr15	64921796	64924296	0.3841634015978892	8.799754042980803	2.8237312761781346
chr7	141265981	141268481	0.7535512877497058	11.058098000913928	2.7816508277194303
chr7	141443525	141446025	0.6648981950732699	10.35723263465882	2.770105475287718
chr9	34483894	34486394	0.2659592780293079	7.631645099222289	2.7694045493497352
chr17	36120965	36123465	0.9013064422104324	11.914711226336838	2.7639524035111176
chr7	45015863	45018363	9.958697410652976	71.02102378051762	2.716341782938696
chr16	35768856	35771356	1.950368038881592	18.37824738180061	2.7154712581592917
chr3	89912696	89915196	1.1229391739015224	12.693450522175848	2.6893510865119605
chr4	98817037	98819537	0.7387757723036332	10.045736916323216	2.667345867496782
chr1	132314126	132316626	3.516572676165294	27.255875354365315	2.645250555440053
chr5	30812641	30815141	5.200981437017577	0.0	-2.632496570703228
chr19	23447942	23450442	0.4137144324900346	7.70951902880619	2.6231023221358476
chr2	180587245	180589745	3.117633759121332	24.29666603017708	2.6190598367000852
chr3	54753582	54756082	0.8274288649800692	10.201484775491018	2.6158028229695556
chr9	58249286	58251786	0.6944492259654151	9.344871550068108	2.610027419349369
chr2	146219921	146222421	3.16196030545955	24.374539959760984	2.6080465558819044
chr14	54912632	54915132	1.1081636584554495	11.447467648833433	2.561793491799554
chr14	31216446	31218946	1.0490615966711592	11.058098000913928	2.5569671010371087
chr5	96371955	96374455	2.304980409587336	18.06675166346501	2.528345452386522
chr13	102691558	102694058	1.2411432974701038	11.758963367169036	2.5092043165793516
chr8	90347843	90350343	1.9060414925433733	15.49691198719628	2.505068788448304
chr3	100488824	100491324	3.3688175217045675	23.751548523089777	2.5022040337139013
chr9	86880154	86882654	1.6400822145140657	13.939433395518265	2.5004706701932995
chr9	14381007	14383507	3.679103346072093	25.309027114767797	2.491253901293978
chr3	93553080	93555580	2.024245616111955	15.49691198719628	2.4475487766559905
chr11	99039244	99041744	2.068572162450173	15.49691198719628	2.4265565792194725
chr17	46545888	46548388	1.4775515446072665	12.304080874256345	2.4248818661614706
chrX	48208378	48210878	1.7287353071905016	13.004946240511453	2.359632083290427
chr11	4159793	4162293	1.8321639153130105	13.394315888430956	2.345522553398697
chr7	45333280	45335780	0.8865309267643599	8.410384395061298	2.3185179042137922
chr2	29252505	29255005	3.959838139547474	23.67367459350588	2.314607643622385
chr11	77724783	77727283	1.0490615966711592	9.189123690900306	2.3139947199200974
chr5	139905943	139908443	3.871185046871038	0.0	-2.284272789405491
chr10	56375330	56377830	1.3297963901465395	10.201484775491018	2.2654141937507046
chr1	153549545	153552045	1.448000513715121	10.590854423410525	2.243311153080374
chr1	75544266	75546766	2.0981231933423183	13.627937677182658	2.2392599676477163
chr1	21961442	21963942	1.6991842762983562	11.681089437585136	2.2320833136560716
chr3	123235649	123238149	1.5662046372837024	10.824476212162226	2.204068152839639
chr2	113216596	113219096	1.1672657202397403	8.799754042980803	2.176869492861434
chr9	90161069	90163569	0.6353471641811246	6.385662225879874	2.1751303494499736
chr15	91671175	91673675	3.427919583488858	0.0	-2.1466290212262122
chr5	21370642	21373142	1.758286338082647	11.13597193049783	2.137445517758249
chr15	32242810	32245310	3.8859605623171114	20.480843480565937	2.136336520364393
chr10	86498396	86500896	2.3493069559255537	13.70581160676656	2.1344519013306855
chr9	35419128	35421628	5.363512106924377	26.86650570644581	2.130636975429565
chr6	38636742	38639242	0.6353471641811246	6.074166507544271	2.112963242010162
chr2	118777719	118780219	4.018940201331764	20.40296955098204	2.0923563147884767
chr7	31126503	31129003	1.3445719055926124	8.955501902148605	2.086169524900262
chrX	103821483	103823983	0.4580409788282525	5.13967935253746	2.0741320444187865
chr6	85069013	85071513	1.8764904616512283	11.058098000913928	2.0676207684741454
chr17	83631395	83633895	0.5910206178429065	5.529049000456964	2.036920337417251
chr2	181362928	181365428	3.1028582436752594	0.0	-2.036629309073326
chr1	119421748	119424248	1.758286338082647	10.201484775491018	2.0218458404835644
chr6	90484427	90486927	1.5957556681758476	9.50061940923591	2.016247934261647
chr7	143756485	143758985	2.0981231933423183	11.447467648833433	2.006385848314598
chr4	155692342	155694842	3.0142051509988232	0.0	-2.0051143493277195
chr14	63543482	63545982	1.4184494828229757	8.644006183813	1.9955501732841494
chr12	111907610	111910110	2.955103089214533	0.0	-1.9837152988346776
chr6	148443889	148446389	3.191511336351695	0.0778739295839009	-1.9592820840591523
chr14	55488651	55491151	2.112898708788391	10.824476212162226	1.925445739486798
chr9	51076594	51079094	5.481716230492959	23.517926734338072	1.9193892221730136
chr8	122550829	122553329	3.38359303715064	15.49691198719628	1.912010222431947
chr5	136170213	136172713	5.93975720932121	0.85661322542291	-1.902211889792032
chr3	105452455	105454955	0.9308574731025778	6.152040437128171	1.889113218243091
chr8	105878881	105881381	2.689143811185225	0.0	-1.8832860296507201
chr10	34207215	34209715	1.1081636584554495	6.775031873799379	1.8828617206848481
chr5	121218219	121220719	3.812082985086747	0.3114957183356036	-1.8754484246017322
chrX	133688487	133690987	4.609960819174671	19.234860607223524	1.850780310705799
chr3	84039675	84042175	2.6004907185087887	0.0	-1.8481935479195108
chr3	32815546	32818046	1.4627760291611938	7.865266887973991	1.8478786323594159
chr11	114763388	114765888	2.068572162450173	9.889989057155416	1.8273630880580085
chr11	60914250	60916750	1.182041235685813	6.619284014631577	1.8039770681784277
chr4	124861671	124864171	2.245878347803045	10.27935870507492	1.7970042094695045
chr2	25397351	25399851	2.437960048601989	0.0	-1.7815527798309012
chr14	24013991	24016491	2.408409017709844	0.0	-1.769098473009231
chr1	72874384	72876884	2.3493069559255537	0.0	-1.7438626016338086
chr2	91455511	91458011	2.304980409587336	0.0	-1.7246417201217827
chr14	70888120	70890620	4.565634272836453	0.7008653662551081	-1.71027716236
chr17	32916842	32919342	0.9899595348868684	5.451175070873063	1.6968228746069012
chr10	110455704	110458204	2.2163273169108995	0.0	-1.685414233150903
chr15	72809824	72812324	4.04849123222391	15.107542339276776	1.6738121864430555
chr19	31764533	31767033	0.4875920097203979	3.737948620027244	1.6712836496149865
chr8	128356604	128359104	5.393063137816522	19.312734536807422	1.667805223841836
chr2	92024002	92026502	2.1720007705726814	0.0	-1.6653931215151736
chr4	115826092	115828592	3.649552315179948	0.4672435775034054	-1.663983419098027
chrX	129747742	129750242	2.6152662339548614	10.43510656424272	1.661296011790168
chr16	97462407	97464907	3.250613398135986	12.381954803840244	1.6545459227704915
chr2	69585565	69588065	1.6105311836219205	7.164401521718883	1.6450037429924957
chr9	37432746	37435246	3.3097154599202767	12.381954803840244	1.6346243501975173
chr1	158360273	158362773	0.9899595348868684	5.13967935253746	1.6254242177967553
chr11	120230947	120233447	5.792002054860484	19.85785204389473	1.6186817952903403
chr17	22422222	22424722	1.5514291218376297	6.697157944215478	1.593020286920102
chr4	46649709	46652209	1.891265977097301	7.631645099222289	1.5779342146550386
chr17	32534558	32537058	2.851674481092024	10.43510656424272	1.5699121242659069
chr9	75683556	75686056	3.427919583488858	12.07045908550464	1.561608888761529
chr7	83582927	83585427	1.9060414925433733	0.0	-1.5390553019587814
chr11	7213423	7215923	2.009470100665882	7.70951902880619	1.5330835666611262
chr3	90389438	90391938	3.4574706143810032	11.836837296752938	1.5259926070533432
chr10	70655465	70657965	1.8764904616512283	0.0	-1.524309686300272
chr17	43566098	43568598	1.093388143009377	4.983931493369658	1.5152538267877926
chrX	141473576	141476076	1.846939430759083	0.0	-1.5094117997633396
chr6	121243906	121246406	1.8321639153130105	0.0	-1.5019047657619344
chr10	10557765	10560265	1.8026128844208649	0.0	-1.48677248347292
chr12	79007127	79009627	1.7730618535287197	0.0	-1.4714797962489854
chr7	99827917	99830417	1.6105311836219205	6.229914366712072	1.469635167324049
chr7	80404936	80407436	1.7435108226365743	0.0	-1.456023266980856
chr2	165234353	165236853	2.8664499965380967	9.578493338819811	1.4520527032100872
chr7	134937930	134940430	2.7925724193077333	0.3893696479195045	-1.448746243285112
chr2	130397074	130399574	1.9060414925433733	0.0778739295839009	-1.4308668546664127
