chr	start	end	bg_mean	bm_mean	mean_intensity	log2_fold_change	coefficient_of_variation	gene	fold_change
chr15	99053174	99055674	1.3560660223344074	166.725947003379	84.0410065128567	6.153582111804323	0.9838642339186292	Prph	71.18898427014149
chr2	180497976	180500476	1.9775962825710107	122.2656944691446	62.12164537585781	5.371479375938672	0.968165745279188	Ntsr1	41.397719089946825
chr7	19309551	19312051	3.3524965552156183	177.84101013693757	90.5967533460766	5.360690633423179	0.9629954007026146	Fosb	41.08929389562216
chr12	30909668	30912168	2.749800545289215	77.80544193491019	40.277621240099705	4.393409494159672	0.9317288245773668	Sh3yl1	21.01590230816719
chr2	29252505	29255005	2.015264783191411	55.57531566779299	28.7952902254922	4.229816127207643	0.9300140832959094	6530402F18Rik	18.76296767805335
chr2	29252506	29255006	2.015264783191411	55.57531566779299	28.7952902254922	4.229816127207643	0.9300140832959094	6530402F18Rik	18.76296767805335
chr11	69836514	69839014	14.314030235752078	255.64645207184776	134.9802411537999	4.066856400633244	0.8939546254074158	Tmem256	16.758909844169047
chr4	72199348	72201848	16.36696351956389	266.76151520540634	141.56423936248513	3.946531183022591	0.8843849012061927	C630043F03Rik	15.417865932854236
chr8	70510301	70512801	2.090601784432212	33.34518940067579	17.717895592554	3.474148356435067	0.8820062025136443	Uba52	11.112783786535443
chr4	119320046	119322546	0.7910385130284043	16.672594700337896	8.73181660668315	3.3026456074364305	0.909407337709892	Ppih	9.86723321234222
chr11	31369574	31372074	1.7892537794690098	11.115063133558598	6.452158456513804	2.11885081427427	0.7226891138014967	Stc2	4.343478253120784
chr1	104766529	104769029	2.768634795599416	11.115063133558598	6.941848964579007	1.6846880222560945	0.6011675261552853	Cdh20	3.214708718314971
chr4	111413006	111415506	3.013480049632016	11.115063133558598	7.064271591595308	1.5938762915981275	0.5734195648398775	Bend5	3.0185930872309656
chr4	135961727	135964227	3.823352812970621	11.115063133558598	7.469207973264609	1.3286936752848737	0.4881180405397754	Gale	2.5117513902320447
chr8	27258329	27260829	5.348927088096829	0.0	2.6744635440484146	-2.666512809921972	1.0	Eif4ebp1	0.1575069277256044
chr7	45713457	45715957	5.49960109057843	0.0	2.749800545289215	-2.700351176248086	1.0	Rpl18	0.1538555960687435
chr5	110839277	110841777	5.876286096782432	0.0	2.938143048391216	-2.781629571259052	1.0	Hscb	0.1454273405622145
chr13	34129854	34132354	5.895120347092632	0.0	2.947560173546316	-2.785575732687552	1.0	Tubb2b	0.1450301009498196
